序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,840.0,9.091,431.50亿
2,sz300308,中际旭创,1220.0,-2.703,426.32亿
3,sz000725,京东方Ａ,7.95,2.054,324.89亿
4,sh600584,长电科技,103.25,2.339,324.40亿
5,sh688008,澜起科技,296.06,13.078,302.94亿
6,sz300502,新易盛,556.96,-1.597,283.71亿
7,sh688256,寒武纪,1482.0,1.646,224.35亿
8,sz000988,华工科技,177.03,9.998,199.61亿
9,sh688525,佰维存储,507.0,1.188,198.08亿
10,sh600522,中天科技,58.84,-3.997,188.51亿
11,sz002384,东山精密,249.59,-4.122,187.14亿
12,sh688012,中微公司,456.69,10.579,178.34亿
13,sh600176,中国巨石,70.98,-4.236,174.78亿
14,sz300750,宁德时代,392.36,2.982,165.30亿
15,sh688041,海光信息,354.84,2.882,164.14亿
16,sz001309,德明利,970.0,1.998,160.65亿
17,sz301308,江波龙,723.1,6.401,160.25亿
18,sh600487,XD亨通光,108.04,-2.262,158.98亿
19,sz300394,天孚通信,295.15,-7.186,158.64亿
20,sz300408,三环集团,166.69,4.149,154.49亿
