排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,重组蛋白,BK1063,903.75,76.16,9.2,2231.55亿,4.48,19,0,三生国健,20.0
2,减肥药,BK1146,1152.8,82.34,7.69,8246.14亿,3.32,35,0,万邦医药,20.0
3,CRO,BK0899,1818.45,126.84,7.5,8142.96亿,4.66,37,1,万邦医药,20.0
4,单抗概念,BK0870,1550.15,103.57,7.16,15986.19亿,2.65,49,0,海思科,10.0
5,创新药,BK1106,1337.52,84.43,6.74,34820.26亿,2.85,165,8,万邦医药,20.0
