序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,威派格,603956,3,7天4板,9.948541641235352,6.41,4.42亿,36.53亿,36.53亿,12.414011001586914,17506863,093939,095239,6,专用设备
2,彤程新材,603650,2,4天3板,9.996504783630371,94.41,56.57亿,580.12亿,581.64亿,9.94896411895752,40785120,093125,145601,4,橡胶
3,兴业股份,603928,2,2天2板,9.975469589233398,13.45,2.22亿,45.82亿,45.82亿,5.004432201385498,60156739,093740,093740,0,塑料
4,柏诚股份,601133,2,4天3板,10.005224227905273,42.11,9.01亿,220.82亿,221.58亿,4.142129898071289,109393989,093245,101621,3,专业工程
5,新亚强,603155,2,2天2板,9.984214782714844,27.87,8.93亿,88.01亿,88.01亿,10.51805305480957,33363177,144449,144449,0,化学制品
6,百润股份,002568,2,2天2板,9.980928421020508,17.3,6.85亿,132.01亿,180.20亿,5.464422225952148,75512337,104657,104657,0,非白酒
7,奔图科技,002180,2,2天2板,10.034364700317383,16.01,11.49亿,217.78亿,227.64亿,5.447042942047119,42519358,132530,132757,1,计算机设
8,有研硅,688432,2,2天2板,20.0,37.08,32.94亿,463.61亿,463.61亿,7.556061744689941,101012668,133120,140150,1,半导体
9,圣晖集成,603163,2,2天2板,10.00147533416748,149.14,12.34亿,149.14亿,149.14亿,8.505419731140137,82101570,100133,132942,2,专业工程
10,惠康科技,001237,1,首板,10.005061149597168,65.2,4.07亿,22.73亿,96.73亿,17.922922134399414,36041451,093000,102418,5,通用设备
11,银河微电,688689,1,首板,19.991411209106445,55.88,8742.72万,72.36亿,72.36亿,1.208146572113037,290608354,092504,092504,0,半导体
12,旗滨集团,601636,1,首板,9.966405868530273,9.82,8.12亿,290.54亿,290.54亿,2.807929039001465,249629555,093028,093028,0,玻璃玻纤
13,中欣氟材,002915,1,首板,10.00540828704834,20.34,5.47亿,58.59亿,68.19亿,9.404786109924316,40025662,093024,135409,4,化学制品
14,洁美科技,002859,1,首板,10.002890586853027,114.15,44.60亿,463.33亿,492.25亿,9.729960441589355,40692306,093021,133903,6,其他电子
15,佳禾食品,605300,1,3天2板,9.989372253417969,10.35,7835.81万,47.03亿,47.03亿,1.6671360731124878,31247146,093009,093009,0,饮料乳品
16,海陆重工,002255,1,首板,9.977324485778809,9.7,4.03亿,61.88亿,80.60亿,6.555909633636475,45588535,093139,100330,4,其他电源
