序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688765,禾元生物-U,51.55,20.0,8.59,52813,2.55亿,22.04,51.55,42.08,43.87,42.96,11.41,-127.82,6.42,创新药
2,688336,三生国健,49.75,20.0,8.29,200030,9.36亿,21.92,49.75,40.66,41.15,41.46,2.24,62.58,5.34,创新药
3,300436,广生堂,106.56,20.0,17.76,135572,13.63亿,20.9,106.56,88.0,89.5,88.8,9.92,-163.66,67.45,创新药
4,300204,舒泰神,23.28,20.0,3.88,557300,12.13亿,22.16,23.28,18.98,19.4,19.4,12.28,-329.78,13.73,创新药
5,301520,万邦医药,28.26,20.0,4.71,24288,6824.77万,6.62,28.26,26.7,28.26,23.55,7.43,-2514.52,1.76,创新药
6,301263,泰恩康,21.33,18.17,3.28,264587,5.32亿,22.16,21.52,17.52,18.0,18.05,7.26,95.26,6.5,创新药
7,300723,一品红,37.98,16.83,5.47,266628,9.59亿,19.47,38.32,31.99,32.27,32.51,6.36,7.22,8.86,创新药
8,688331,荣昌生物,131.58,16.45,18.59,190901,24.26亿,20.44,135.59,112.5,113.35,112.99,11.71,56.61,18.91,创新药
9,300149,睿智医药,9.86,16.0,1.36,678651,6.40亿,18.82,9.95,8.35,8.5,8.5,14.3,-67.61,3.83,创新药
10,688382,益方生物-U,18.35,14.97,2.39,305547,5.39亿,20.18,18.8,15.58,15.95,15.96,5.27,-59.93,7.08,创新药
11,688578,艾力斯,107.01,14.49,13.54,176408,18.22亿,16.04,108.0,93.01,93.36,93.47,3.92,18.93,6.44,创新药
12,688180,君实生物-U,33.96,14.42,4.28,368488,12.07亿,17.15,34.3,29.21,29.68,29.68,4.81,-423.88,5.91,创新药
13,300485,赛升药业,9.67,13.63,1.16,275270,2.56亿,17.04,9.75,8.3,8.53,8.51,10.05,249.7,1.39,创新药
14,920478,峆一药业,9.29,13.29,1.09,78166,7050.93万,25.12,9.89,7.83,8.11,8.2,11.82,79.44,2.02,创新药
15,688506,百利天恒,297.01,13.11,34.42,41613,11.93亿,16.82,302.17,258.0,265.02,262.59,1.01,-39.58,21.73,创新药
