序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,603848,好太太,-10.00676155090332,13.31,7682.14万,53.56亿,53.56亿,32.95454406738281,1.402884840965271,387520,144943,15944040,1,8,家居用品
2,001215,千味央厨,-10.007658958435059,35.25,1.97亿,34.16亿,34.25亿,37.8812255859375,5.675549030303955,521700,144348,73244559,1,43,食品加工
3,001268,联合精密,-9.9874849319458,35.96,1.34亿,24.34亿,38.81亿,-553.6412353515625,5.38076114654541,578956,144145,5332868,1,0,家电零部
4,002898,赛隆退,-8.571429252624512,0.32,258.18万,3240.40万,5632.00万,-1.5658468008041382,7.931074142456055,906110,095621,2359100,1,1,化学制药
5,603262,技源集团,-10.0,27.36,1.46亿,10.95亿,109.44亿,119.3358383178711,12.939074516296387,1805760,145654,35116560,1,1,食品加工
6,000859,国风新材,-9.97038459777832,9.12,6.34亿,81.71亿,81.71亿,-94.8489761352539,7.581905364990234,1870512,145618,175212006,2,6,塑料
7,605058,澳弘电子,-10.00261116027832,34.46,1.90亿,49.25亿,49.25亿,37.202152252197266,3.7187304496765137,2264022,145546,56659132,1,43,元件
8,000967,盈峰环境,-9.97177791595459,9.57,23.98亿,321.33亿,321.47亿,37.5046272277832,7.1344780921936035,2787750,150000,37464626,1,0,环保设备
9,603285,键邦股份,-9.99797248840332,44.38,2.28亿,27.65亿,71.01亿,55.85967254638672,7.980187892913818,3612532,140028,63816265,1,24,化学制品
10,603201,常润股份,-10.019268035888672,14.01,1.51亿,26.39亿,26.62亿,20.175067901611328,5.676981449127197,5385444,140516,28292267,4,12,汽车零部
11,002963,豪尔赛,-9.995654106140137,20.71,1.63亿,25.47亿,31.14亿,-165.80892944335938,6.16509485244751,5463298,140739,15584275,1,2,装修装饰
12,603256,宏和科技,-10.0,267.3,38.43亿,2351.51亿,2417.96亿,431.0679931640625,1.6111444234848022,6014250,145401,1489971361,1,27,玻璃玻纤
13,002289,宇顺电子,-10.002127647399902,42.29,2.18亿,116.06亿,118.52亿,60.15499496459961,1.8284252882003784,8565839,103536,38720724,1,8,光学光电
14,002579,中京电子,-10.008779525756836,20.5,26.66亿,119.60亿,125.59亿,558.6740112304688,21.505809783935547,9822349,144512,628415539,1,29,元件
15,002976,瑞玛精密,-10.014460563659668,24.89,3.11亿,30.30亿,48.44亿,-87.70333862304688,9.935026168823242,10055808,135821,30494725,1,7,汽车零部
16,603327,福蓉科技,-9.958932876586914,8.77,3.88亿,91.69亿,91.69亿,47.48762130737305,4.196384906768799,11391405,140539,152910274,2,11,消费电子
17,002273,水晶光电,-9.991626739501953,32.25,37.37亿,439.27亿,448.48亿,45.45220184326172,8.098895072937012,11517184,145530,1141687312,1,28,光学光电
18,603867,新化股份,-9.98706340789795,34.79,4.66亿,75.04亿,75.66亿,23.27543830871582,6.027288436889648,12611027,140358,114761773,1,29,化学制品
19,002552,宝鼎科技,-10.0,60.12,8.02亿,221.54亿,233.26亿,88.2927017211914,3.514676809310913,12691332,140100,235586230,1,36,元件
20,600500,中化国际,-9.977578163146973,8.03,18.72亿,288.14亿,288.14亿,-33.38241958618164,6.279360771179199,13373965,145053,515573022,1,18,化学制品
21,002902,铭普光磁,-9.983305931091309,26.96,6.46亿,47.89亿,63.36亿,-69.29486083984375,13.029229164123535,13937619,140533,182052063,1,13,通信设备
22,600299,安迪苏,-9.966024398803711,7.95,4.53亿,244.84亿,244.84亿,20.035429000854492,1.8227496147155762,14390247,135325,40404473,1,12,化学制品
23,600996,贵广网络,-9.98810863494873,7.57,3.00亿,94.38亿,94.38亿,-8.87923812866211,3.1162807941436768,14525141,133916,115727793,1,7,电视广播
24,002741,光华科技,-9.997443199157715,35.2,19.37亿,150.08亿,163.69亿,99.45774841308594,12.446348190307617,15781744,141921,538499418,1,17,电子化学
25,002141,贤丰控股,-10.06944465637207,5.18,10.92亿,53.51亿,53.51亿,134.50933837890625,19.4438533782959,15956213,142309,90196232,1,1,元件
26,300553,集智股份,-19.997278213500977,58.77,4.47亿,49.89亿,65.25亿,247.0086212158203,8.289353370666504,22581079,131203,31236255,1,2,通用设备
27,600596,新安股份,-10.0,16.02,21.40亿,216.21亿,216.21亿,56.13938522338867,9.381875038146973,22838031,141207,449560259,1,40,农化制品
28,002201,九鼎新材,-10.008339881896973,10.79,4.68亿,64.96亿,70.31亿,112.27658081054688,7.031829357147217,23018846,103842,97113537,1,1,玻璃玻纤
29,002910,庄园牧场,-10.024450302124023,11.04,3.56亿,18.89亿,21.59亿,-17.128406524658203,17.95098114013672,26539056,140248,11680320,1,0,饮料乳品
30,002655,共达电声,-9.994132995605469,46.02,15.22亿,167.41亿,167.74亿,801.966064453125,8.831668853759766,27685632,140627,435560892,1,15,消费电子
31,603637,镇海股份,-10.00540828704834,16.64,7804.58万,39.72亿,39.72亿,-527.3746337890625,1.9388662576675415,42491138,093349,43270656,1,2,专业工程
32,603823,百合花,-9.996371269226074,49.61,6.90亿,206.56亿,206.56亿,120.26513671875,3.265803813934326,62706345,100757,119823525,1,4,化学制品
33,600353,旭光电子,-10.004168510437012,43.18,19.19亿,357.88亿,357.88亿,268.1021423339844,5.183211326599121,68459299,140418,636347758,1,5,其他电子
34,000766,通化金马,-9.97912311553955,21.56,7.50亿,208.27亿,208.38亿,570.6246948242188,3.5937702655792236,77238700,131709,956168658,2,11,化学制药
35,603065,宿迁联盛,-9.977116584777832,19.67,8.51亿,82.41亿,82.41亿,378.7952575683594,9.940292358398438,77997372,103348,73606005,1,1,化学制品
36,002733,雄韬股份,-9.988713264465332,31.9,4.13亿,117.67亿,122.56亿,144.8357391357422,3.431628704071045,148070198,093857,148657190,1,3,电池
37,000703,恒逸石化,-10.017995834350586,15.0,11.62亿,570.29亿,573.16亿,7.183242321014404,2.000715494155884,151496475,094624,269757540,1,0,炼化及贸
38,605006,山东玻纤,-9.98396110534668,22.45,3.71亿,143.90亿,141.07亿,356.8052062988281,2.5277774333953857,355538584,093227,244749900,1,0,玻璃玻纤
