序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,301520,万邦医药,28.26,20.0,4.71,24288,6824.77万,6.62,28.26,26.7,28.26,23.55,7.43,-2514.52,1.76,CRO
2,300149,睿智医药,9.86,16.0,1.36,678651,6.40亿,18.82,9.95,8.35,8.5,8.5,14.3,-67.61,3.83,CRO
3,301393,昊帆生物,63.1,12.46,6.99,70048,4.21亿,18.43,64.9,54.56,55.19,56.11,16.64,50.94,2.89,CRO
4,301230,泓博医药,38.72,11.97,4.14,128227,4.82亿,17.52,40.06,34.0,34.58,34.58,10.21,56.82,5.25,CRO
5,600222,太龙药业,7.25,10.02,0.66,117720,8413.67万,7.89,7.25,6.73,6.73,6.59,2.05,399.89,2.59,CRO
6,002821,凯莱英,167.75,10.0,15.25,106012,17.00亿,10.98,167.75,151.0,155.55,152.5,3.34,49.72,3.45,CRO
7,301509,金凯生科,29.28,9.95,2.65,62042,1.74亿,14.68,29.68,25.77,26.31,26.63,10.93,52.97,1.67,CRO
8,920017,星昊医药,16.96,9.63,1.49,61872,1.02亿,16.22,17.3,14.79,15.33,15.47,5.05,16.52,1.3,CRO
9,688202,美迪西,77.35,9.61,6.78,102674,7.70亿,10.53,77.5,70.07,71.38,70.57,7.64,166.38,5.31,CRO
10,300759,康龙化成,28.8,9.42,2.48,1168349,33.24亿,15.2,30.0,26.0,26.68,26.32,8.23,39.45,3.21,CRO
11,688621,XD阳光诺,55.03,9.19,4.63,30259,1.63亿,10.71,55.54,50.14,50.48,50.4,2.7,74.69,5.0,CRO
12,688073,毕得医药,54.24,9.13,4.54,42008,2.18亿,13.1,54.31,47.8,49.3,49.7,4.62,26.32,2.46,CRO
13,300347,泰格医药,49.16,9.12,4.11,400585,18.96亿,14.47,50.1,43.58,45.07,45.05,7.07,215.77,2.02,CRO
14,688131,皓元医药,98.11,8.83,7.96,140312,13.35亿,12.05,99.97,89.11,90.16,90.15,6.58,77.09,6.66,CRO
15,300404,博济医药,9.0,8.56,0.71,206640,1.81亿,12.18,9.16,8.15,8.2,8.29,7.24,52.73,3.27,CRO
