序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,301520,万邦医药,28.26,20.0,4.71,24288,6824.77万,6.62,28.26,26.7,28.26,23.55,7.43,-2514.52,1.76,减肥药
2,300149,睿智医药,9.86,16.0,1.36,678651,6.40亿,18.82,9.95,8.35,8.5,8.5,14.3,-67.61,3.83,减肥药
3,688117,圣诺生物,26.78,13.52,3.19,139727,3.66亿,16.36,27.54,23.68,23.85,23.59,6.34,22.23,5.49,减肥药
4,300199,翰宇药业,22.1,11.79,2.33,720999,15.06亿,17.1,22.28,18.9,19.82,19.77,9.68,38.18,26.32,减肥药
5,002038,双鹭药业,5.58,10.06,0.51,356772,1.89亿,13.41,5.58,4.9,5.2,5.07,4.19,-16.64,1.13,减肥药
6,600557,康缘药业,11.96,10.03,1.09,92674,1.07亿,11.68,11.96,10.69,10.88,10.87,1.64,21.35,1.38,减肥药
7,002317,众生药业,24.85,10.0,2.26,603851,14.62亿,12.13,24.85,22.11,22.39,22.59,7.93,52.9,5.29,减肥药
8,600867,通化东宝,8.17,9.96,0.74,582100,4.58亿,12.25,8.17,7.26,7.4,7.43,2.97,31.55,2.41,减肥药
9,301509,金凯生科,29.28,9.95,2.65,62042,1.74亿,14.68,29.68,25.77,26.31,26.63,10.93,52.97,1.67,减肥药
10,688621,XD阳光诺,55.03,9.19,4.63,30259,1.63亿,10.71,55.54,50.14,50.48,50.4,2.7,74.69,5.0,减肥药
11,002294,信立泰,32.9,9.12,2.75,409135,13.16亿,12.37,33.17,29.44,29.96,30.15,3.67,40.7,4.3,减肥药
12,688131,皓元医药,98.11,8.83,7.96,140312,13.35亿,12.05,99.97,89.11,90.16,90.15,6.58,77.09,6.66,减肥药
13,000963,华东医药,28.72,8.75,2.31,379374,10.52亿,11.78,28.74,25.63,26.07,26.41,2.16,12.56,2.04,减肥药
14,600276,恒瑞医药,52.93,8.75,4.26,1727562,89.59亿,10.03,53.31,48.43,49.01,48.67,2.71,38.48,5.63,减肥药
15,300404,博济医药,9.0,8.56,0.71,206640,1.81亿,12.18,9.16,8.15,8.2,8.29,7.24,52.73,3.27,减肥药
