序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,400.0,6.57,278.76 亿
2,sz300308,中际旭创,1045.0,-0.464,255.46 亿
3,sz300394,天孚通信,384.95,-3.76,208.63 亿
4,sh688008,澜起科技,247.99,0.004,198.44 亿
5,sz300502,新易盛,599.92,-1.661,176.55 亿
6,sh601138,工业富联,68.98,2.011,171.63 亿
7,sh688525,佰维存储,331.1,8.097,167.86 亿
8,sz002384,东山精密,211.25,3.885,163.79 亿
9,sh688256,寒武纪,1216.99,0.661,153.62 亿
10,sz002475,立讯精密,72.9,-1.486,149.53 亿
11,sz300136,信维通信,111.75,12.188,145.87 亿
12,sz300274,阳光电源,152.25,-0.458,144.63 亿
13,sh600584,长电科技,58.33,0.482,142.94 亿
14,sh600522,中天科技,43.95,7.221,142.21 亿
15,sz002281,光迅科技,209.9,6.825,140.49 亿
16,sz301308,江波龙,592.22,0.288,138.61 亿
17,sz300476,胜宏科技,346.2,1.758,127.24 亿
18,sh688012,中微公司,438.75,1.351,125.26 亿
19,sz001309,德明利,735.04,3.227,121.79 亿
20,sz300433,蓝思科技,38.7,13.125,120.21 亿
