序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh688825,长鑫科技,55.18,4.349,198.62亿
2,sh603986,兆易创新,417.48,3.209,196.99亿
3,sh600487,亨通光电,62.98,10.009,191.97亿
4,sz300308,中际旭创,943.0,2.384,186.91亿
5,sz300502,新易盛,448.08,4.229,171.52亿
6,sz300394,天孚通信,267.71,4.103,137.35亿
7,sh600522,中天科技,35.55,8.055,132.80亿
8,sz000938,紫光股份,39.95,0.884,130.42亿
9,sh600176,中国巨石,44.39,5.943,121.73亿
10,sz002384,东山精密,205.19,1.524,114.20亿
11,sh688256,寒武纪,1093.0,-1.131,110.77亿
12,sh688981,中芯国际,132.87,2.65,102.86亿
13,sh600183,生益科技,143.21,1.037,96.45亿
14,sz300476,胜宏科技,269.33,-0.726,92.33亿
15,sh688347,华虹宏力,253.24,-8.574,92.07亿
16,sz000636,风华高科,62.73,1.145,91.63亿
17,sh600584,长电科技,78.71,1.144,89.02亿
18,sh603629,利通电子,137.5,10.0,88.70亿
19,sh603259,药明康德,159.24,-1.904,87.23亿
20,sh600667,太极实业,22.95,-3.49,86.00亿
