序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,921.04,0.004,277.45亿
2,sh688825,长鑫科技,52.88,-1.196,253.86亿
3,sh603986,兆易创新,404.5,-2.098,229.01亿
4,sz300502,新易盛,429.9,0.397,194.47亿
5,sz002384,东山精密,202.11,0.959,172.78亿
6,sz300394,天孚通信,257.16,7.128,168.59亿
7,sz000938,紫光股份,39.6,7.027,164.61亿
8,sh688256,寒武纪,1105.5,0.011,148.35亿
9,sz300476,胜宏科技,271.3,-2.896,145.54亿
10,sz000636,风华高科,62.02,-6.751,133.38亿
11,sh600487,亨通光电,57.25,-3.457,128.46亿
12,sh600183,生益科技,141.74,-1.04,121.00亿
13,sh603259,药明康德,162.33,2.069,120.28亿
14,sh600667,太极实业,23.78,4.712,120.17亿
15,sh600584,长电科技,77.82,-0.46,119.81亿
16,sz000977,浪潮信息,79.46,5.918,119.47亿
17,sz300058,蓝色光标,15.25,-4.028,117.45亿
18,sh601899,紫金矿业,32.21,-4.08,108.57亿
19,sz300285,国瓷材料,70.66,-4.514,108.02亿
20,sz002428,云南锗业,100.21,-5.444,104.86亿
