序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,002261,拓维信息,42.96,10.01,137.98 亿,BK0087,软件开发,软件服务与解决方案、AI行业大模型与行业应用、开源鸿蒙行业发行版及创新性产品与解决方案、智能计算。,1
2,600410,华胜天成,30.51,2.62,115.21 亿,BK0086,IT服务,IT系统解决方案、数字化基础设施、数字化应用等业务的生产、制造和销售。,2
3,600759,洲际油气,8.32,0.97,110.15 亿,BK0007,油气开采及服务,石油勘探开发和石油化工项目的投资及相关工程的技术开发、咨询、服务;石油化工产品、管道生产建设所需物资设备、器材的销售;油品贸易和进出口;能源基础产业投资、开发、经营;新能源产品技术研发、生产、销售;股权投资;房屋租赁及物业管理。,1
4,600989,宝丰能源,30.64,7.02,98.74 亿,BK0008,化学原料,以煤替代石油生产高端化工产品。,1
5,601868,中国能建,2.94,1.73,98.12 亿,BK0016,建筑装饰,勘测设计及咨询、工程建设、工业制造、投资运营。,1
