序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,000533,顺钠股份,16.37,10.01,1.49,536866,8.63 亿,5.04,16.37,15.62,15.76,14.88,7.84,105.34,11.93,昨日连板_含一字
2,000815,美利云,17.94,9.99,1.63,2254231,38.49 亿,13.06,17.94,15.81,16.53,16.31,32.42,289.24,9.24,昨日连板_含一字
3,605268,王力安防,15.33,9.97,1.39,49925,7653.50 万,0.0,15.33,15.33,15.33,13.94,1.13,43.16,4.08,昨日连板_含一字
4,600590,泰豪科技,16.99,5.01,0.81,1570414,25.70 亿,11.62,17.2,15.32,15.8,16.18,18.62,221.74,4.53,昨日连板_含一字
5,002713,*ST东易,10.59,3.62,0.37,307608,3.22 亿,7.05,10.73,10.01,10.1,10.22,5.84,-129.7,-3.81,昨日连板_含一字
6,603838,*ST四通,9.0,3.21,0.28,41195,3673.98 万,6.77,9.16,8.57,8.63,8.72,1.29,-60.11,3.08,昨日连板_含一字
7,002498,汉缆股份,9.96,1.32,0.13,5867343,59.17 亿,7.93,10.49,9.71,9.84,9.83,17.64,55.94,3.72,昨日连板_含一字
8,002913,奥士康,53.18,0.11,0.06,206045,10.95 亿,6.16,54.48,51.21,51.83,53.12,6.83,44.81,3.82,昨日连板_含一字
9,000908,*ST景峰,6.37,-0.16,-0.01,365038,2.35 亿,7.21,6.64,6.18,6.34,6.38,4.15,-94.31,150.25,昨日连板_含一字
10,603813,*ST原尚,37.05,-2.47,-0.94,11937,4467.56 万,4.84,38.77,36.93,37.62,37.99,1.14,-71.99,7.13,昨日连板_含一字
11,000509,华塑控股,3.87,-3.01,-0.12,1506897,5.91 亿,7.02,4.11,3.83,3.84,3.99,14.04,-316.03,33.42,昨日连板_含一字
12,600545,卓郎智能,3.89,-6.27,-0.26,3067578,11.91 亿,7.95,4.09,3.76,3.88,4.15,17.16,-21.84,2.18,昨日连板_含一字
