序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688158,优刻得-W,45.38,19.99,7.56,706106,31.08 亿,11.45,45.38,41.05,41.66,37.82,17.41,-270.03,8.58,VPN
2,300352,北信源,7.58,11.31,0.77,2425686,17.63 亿,15.42,7.86,6.81,6.86,6.81,19.0,-49.61,8.92,VPN
3,601789,宁波建工,6.04,10.02,0.55,463135,2.80 亿,0.0,6.04,6.04,6.04,5.49,4.26,37.86,1.45,VPN
4,600602,云赛智联,22.26,9.98,2.02,1215680,26.70 亿,6.23,22.26,21.0,21.24,20.24,11.32,157.24,6.32,VPN
5,300454,深信服,127.3,8.39,9.85,229283,27.97 亿,11.24,128.5,115.3,118.88,117.45,8.28,-498.48,5.9,VPN
6,300383,光环新网,15.81,6.25,0.93,1928699,29.13 亿,11.56,15.97,14.25,14.4,14.88,10.75,148.42,2.23,VPN
7,300921,南凌科技,27.91,5.52,1.46,176003,4.76 亿,8.66,28.07,25.78,25.89,26.45,15.34,172.84,6.19,VPN
8,002268,电科网安,20.1,4.36,0.84,278736,5.48 亿,4.98,20.15,19.19,19.57,19.26,3.3,-59.77,3.16,VPN
9,002757,南兴股份,21.99,3.19,0.68,217461,4.67 亿,7.37,22.17,20.6,20.71,21.31,7.71,53.07,3.25,VPN
10,002467,二六三,6.9,3.14,0.21,1104008,7.42 亿,7.47,6.97,6.47,6.56,6.69,8.08,93.87,4.86,VPN
11,300494,盛天网络,12.68,3.01,0.37,168770,2.09 亿,5.36,12.68,12.02,12.15,12.31,4.24,151.92,4.32,VPN
12,603019,中科曙光,86.61,2.87,2.42,414923,35.13 亿,5.88,87.27,82.32,83.5,84.19,2.84,59.98,5.72,VPN
13,688030,山石网科,17.4,2.84,0.48,31117,5328.05 万,5.73,17.57,16.6,16.8,16.92,1.73,-16.32,4.29,VPN
14,300311,ST任子行,5.63,2.74,0.15,155383,8586.70 万,4.93,5.65,5.38,5.41,5.48,2.89,-36.95,6.41,VPN
15,002439,启明星辰,14.39,2.71,0.38,242789,3.44 亿,3.85,14.43,13.89,14.0,14.01,3.35,-60.6,1.56,VPN
