排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,VPN,BK0885,1380.97,68.13,5.19,3818.07 亿,7.17,18,1,宁波建工,10.02
2,东数西算,BK1064,2110.17,67.74,3.32,16006.18 亿,8.47,52,13,金开新能,10.0
3,虚拟电厂,BK0958,2788.18,88.76,3.29,10412.80 亿,5.9,49,14,协鑫能科,9.99
4,Kimi概念,BK1169,1376.82,41.07,3.07,5301.94 亿,8.48,13,3,汉得信息,17.77
5,昨日连板_含一字,BK1051,3348.76,85.25,2.61,1286.84 亿,7.55,8,4,王力安防,9.97
