序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,300502,新易盛,384.0,-4.48,166.29 亿,BK0029,通信设备,高性能光模块的研发、生产和销售。,1
2,300308,中际旭创,525.99,-3.57,162.31 亿,BK0029,通信设备,高端光通信收发模块的研发、生产及销售。,2
3,000988,华工科技,118.6,3.33,154.18 亿,BK0071,自动化设备,激光设备的生产与销售、激光防伪标识的生产与销售、敏感电子元器件的生产与销售、光通信电子元器件的生产与销售、计算机软件与信息系统集成等技术及产品的开发、研制、销售等业务。,1
4,601899,紫金矿业,36.4,-1.89,139.05 亿,BK0068,工业金属,金、铜、锌铅、锂等矿产资源勘查与开发，清洁能源业务。,1
5,002261,拓维信息,42.96,10.01,137.98 亿,BK0087,软件开发,软件服务与解决方案、AI行业大模型与行业应用、开源鸿蒙行业发行版及创新性产品与解决方案、智能计算。,1
6,600089,特变电工,32.76,1.64,137.23 亿,BK0065,综合,输变电业务、新能源业务、能源业务及新材料业务。,1
7,300274,阳光电源,155.8,4.01,126.74 亿,BK0094,光伏设备,太阳能、风能、储能、氢能、电动汽车及充电等新能源电源设备的研发、生产、销售和服务。,1
8,300017,网宿科技,20.03,12.21,118.21 亿,BK0086,IT服务,CDN及边缘计算、安全。,1
9,600410,华胜天成,30.51,2.62,115.21 亿,BK0086,IT服务,IT系统解决方案、数字化基础设施、数字化应用等业务的生产、制造和销售。,2
10,300394,天孚通信,306.96,-4.93,113.66 亿,BK0029,通信设备,高速光器件的研发、规模量产和销售业务。,3
11,300750,宁德时代,357.5,0.77,112.18 亿,BK0096,电池,动力电池、储能电池的研发、生产、销售。,1
12,600759,洲际油气,8.32,0.97,110.15 亿,BK0007,油气开采及服务,石油勘探开发和石油化工项目的投资及相关工程的技术开发、咨询、服务;石油化工产品、管道生产建设所需物资设备、器材的销售;油品贸易和进出口;能源基础产业投资、开发、经营;新能源产品技术研发、生产、销售;股权投资;房屋租赁及物业管理。,1
13,601857,中国石油,12.92,5.04,107.64 亿,BK0080,石油加工贸易,原油及天然气的勘探、开发、生产、输送和销售及新能源业务；原油及石油产品的炼制，基本及衍生化工产品、其他化工产品的生产和销售及新材料业务；炼油产品和非油品的销售以及贸易业务；天然气的输送及销售业务。,1
14,601179,中国西电,20.17,4.51,106.16 亿,BK0093,电网设备,输配电及控制设备研发、设计、制造、销售、检测、相关设备成套、技术研究、服务与工程承包等业务。,1
15,002594,比亚迪,97.52,4.17,105.62 亿,BK0025,汽车整车,以新能源汽车为主的汽车业务、手机部件及组装业务，二次充电电池及光伏业务，同时利用自身的技术优势积极拓展城市轨道交通业务领域。,1
16,688525,佰维存储,216.65,3.5,104.06 亿,BK0021,半导体,半导体存储器的研发设计、封装测试、生产和销售。,1
17,000547,航天发展,32.1,-1.71,101.61 亿,BK0091,军工电子,蓝军体系及装备、新一代通信与指控装备、空间信息应用、数据智能与安全。,1
18,600989,宝丰能源,30.64,7.02,98.74 亿,BK0008,化学原料,以煤替代石油生产高端化工产品。,1
19,002506,协鑫集成,5.78,3.96,98.40 亿,BK0094,光伏设备,高效电池组件、能源工程、综合能源系统集成等相关产品的研发、设计、生产、销售及一站式服务。,2
20,601868,中国能建,2.94,1.73,98.12 亿,BK0016,建筑装饰,勘测设计及咨询、工程建设、工业制造、投资运营。,1
