序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920036,N觅睿,41.3,91.91,19.78,116067.0,506360260.89,40.8,49.66,40.88,48.8,21.52,,88.86,28.4,4.94,2247621455.0,539430740.0,-0.34,-0.17,91.91,91.91
2,920375,派诺科技,20.6,22.04,3.72,342908.0,668224615.97,36.61,21.94,15.76,16.0,16.88,4.61,52.82,241.9,2.74,2238804889.0,1337273473.0,0.0,0.54,51.58,57.61
3,301396,宏景科技,114.29,20.0,19.05,239787.0,2468802593.86,22.35,114.29,93.0,98.3,95.24,2.0,31.52,122.39,13.61,17545520447.0,8695305947.0,0.0,0.0,91.15,72.38
4,301606,绿联科技,80.88,20.0,13.48,138758.0,1064302633.59,19.76,80.88,67.56,67.84,67.4,3.33,6.34,53.91,10.68,33557905109.0,17714039072.0,0.0,0.0,33.25,37.69
5,688316,青云科技-U,89.52,20.0,14.92,120960.0,1008085744.0,17.02,89.52,76.82,77.09,74.6,2.4,25.25,-70.69,157.05,4287840508.0,4287840508.0,0.0,0.0,49.03,48.78
6,688229,博睿数据,103.14,20.0,17.19,32005.0,316399355.0,17.06,103.14,88.48,88.48,85.95,1.6,7.21,-48.66,12.38,4579416000.0,4579416000.0,0.0,0.0,70.23,64.55
7,688158,优刻得-W,45.38,19.99,7.56,706106.0,3107646576.0,11.45,45.38,41.05,41.66,37.82,1.66,17.41,-270.03,8.58,20707124576.0,18400405945.0,0.0,0.0,90.91,61.55
8,301179,泽宇智能,24.07,19.99,4.01,346482.0,776211190.77,22.78,24.07,19.5,19.62,20.06,1.56,14.59,125.77,4.01,9734090186.0,5716756157.0,0.0,0.0,55.89,52.25
9,300113,顺网科技,29.36,19.98,4.89,1198306.0,3267717759.21,17.78,29.36,25.01,25.01,24.47,2.5,23.11,46.49,7.94,20069500168.0,15220884629.0,0.0,0.0,50.56,45.06
10,920876,慧为智能,32.49,19.32,5.26,76108.0,222433232.04,23.72,32.5,26.04,26.04,27.23,1.62,19.73,315.75,8.12,2085229611.0,1253004109.0,0.46,3.9,23.25,28.32
11,300170,汉得信息,26.78,17.77,4.04,2619683.0,6680177526.23,14.69,27.0,23.66,24.0,22.74,3.85,26.81,141.36,4.94,27375244711.0,26166936413.0,0.0,0.07,46.42,41.54
12,301658,首航新能,41.0,15.62,5.54,226537.0,895525141.26,20.84,42.55,35.16,35.16,35.46,1.5,54.94,111.13,5.35,16907216535.0,1690721674.0,0.02,0.37,41.77,43.56
13,300846,首都在线,37.61,14.25,4.69,1426969.0,5000629748.56,22.57,39.03,31.6,32.48,32.92,1.59,36.36,-142.69,22.2,18913919162.0,14759297340.0,0.21,0.13,92.08,64.74
14,301012,扬电科技,33.66,13.72,4.06,367740.0,1164951992.5,16.25,33.66,28.85,29.0,29.6,4.07,18.67,143.38,5.68,6629679053.0,6629679053.0,0.36,0.6,36.0,27.26
15,300257,开山股份,28.61,13.08,3.31,287823.0,764144975.74,16.21,28.7,24.6,24.92,25.3,1.74,3.01,70.12,4.3,28427897865.0,27313686622.0,0.32,0.0,101.34,103.63
16,688248,南网科技,65.39,12.61,7.32,183074.0,1141244684.0,17.44,67.25,57.12,57.12,58.07,2.85,3.24,87.64,11.33,36925733000.0,36925733000.0,0.23,0.25,51.37,46.16
17,688717,艾罗能源,128.09,12.36,14.09,122169.0,1514644619.0,14.54,130.58,114.0,114.0,114.0,1.17,12.33,177.09,4.69,20494400000.0,12687033727.0,0.42,0.42,101.72,107.94
18,300017,网宿科技,20.03,12.21,2.18,6267059.0,11820612157.47,13.61,20.24,17.81,18.0,17.85,2.13,27.18,59.97,4.86,49262779033.0,46192016829.0,-0.1,0.2,98.51,95.41
19,920130,立方控股,26.2,12.21,2.85,66198.0,167112637.52,15.12,26.34,22.81,23.2,23.35,3.79,11.7,-50.24,5.07,2416772783.0,1482595618.0,0.58,0.81,15.93,-9.53
20,301638,南网数字,31.77,11.95,3.39,1244834.0,3898606993.77,15.47,33.28,28.89,28.89,28.38,1.91,52.98,479.1,10.7,101017487807.0,7465319651.0,0.03,0.0,45.47,68.9
21,688348,昱能科技,56.8,11.59,5.9,97303.0,531205593.0,14.58,57.74,50.32,51.08,50.9,1.93,6.23,-67.71,2.59,8876558308.0,8876558308.0,0.02,0.35,10.29,12.72
22,300352,北信源,7.58,11.31,0.77,2425686.0,1763134011.81,15.42,7.86,6.81,6.86,6.81,4.0,19.0,-49.61,8.92,10989666579.0,9676710486.0,0.0,0.0,27.18,23.65
23,300749,顶固集创,35.0,11.11,3.5,255625.0,883594696.82,14.57,36.09,31.5,31.9,31.5,1.4,16.24,459.55,12.66,7180929000.0,5508846000.0,0.52,0.37,227.1,189.98
24,688300,联瑞新材,83.3,11.07,8.3,202546.0,1562368532.0,19.01,84.86,70.6,71.19,75.0,2.72,8.39,68.73,11.8,20114383527.0,20114383527.0,-0.14,-0.3,47.28,34.16
25,688023,安恒信息,59.46,10.77,5.78,89861.0,510357265.0,11.42,59.95,53.82,53.82,53.68,2.31,8.83,-103.8,2.55,6052105121.0,6052105121.0,0.1,0.05,13.13,15.66
26,688308,欧科亿,85.0,10.68,8.2,137271.0,1102319143.0,12.49,85.0,75.41,76.81,76.8,1.3,8.65,130.0,5.1,13496445180.0,13496445180.0,0.81,2.02,185.81,168.65
27,300438,鹏辉能源,52.33,10.54,4.99,543138.0,2738569394.68,13.14,52.68,46.46,46.5,47.34,1.39,13.44,172.46,5.06,26339958029.0,21149914575.0,0.08,0.08,-6.0,-1.67
28,002445,中南文化,3.06,10.07,0.28,174989.0,53546481.0,0.0,3.06,3.06,3.06,2.78,0.15,0.74,66.33,3.21,7272419045.0,7241125777.0,0.0,0.0,21.43,17.69
29,301557,常友科技,108.4,10.07,9.92,37788.0,399835246.19,14.91,111.18,96.5,98.35,98.48,2.41,21.27,63.31,4.75,4802973216.0,1925724266.0,-0.01,0.05,-18.5,-17.12
30,920046,亿能电力,37.08,10.06,3.39,185840.0,657746904.6,22.71,39.33,31.68,31.8,33.69,1.22,29.0,249.95,14.89,3750642000.0,2375985802.0,0.03,0.68,174.06,175.69
31,002068,黑猫股份,9.52,10.06,0.87,482880.0,445282218.17,9.02,9.52,8.74,8.8,8.65,2.78,6.57,-24.82,2.61,7000486266.0,6997255416.0,0.0,0.0,0.95,7.94
32,600851,海欣股份,8.78,10.03,0.8,289875.0,245639298.0,12.16,8.78,7.81,7.87,7.98,3.35,3.93,55.21,2.27,10597957756.0,6481449646.0,0.0,0.0,20.6,28.55
33,600227,赤天化,3.62,10.03,0.33,2484429.0,896108882.0,4.86,3.62,3.46,3.62,3.29,1.13,19.45,-30.07,2.55,6113194220.0,4624911287.0,0.0,0.0,35.58,52.1
34,600268,国电南自,16.34,10.03,1.49,867674.0,1342265372.0,12.53,16.34,14.48,14.59,14.85,1.41,8.58,59.11,4.84,16599328513.0,16516984635.0,0.0,0.0,60.99,55.92
35,002229,鸿博股份,17.9,10.02,1.63,678514.0,1157451366.95,12.85,17.9,15.81,15.88,16.27,2.05,13.76,291.25,6.99,8881827635.0,8827640988.0,0.0,0.0,8.68,15.86
36,000973,佛塑科技,14.5,10.02,1.32,830651.0,1147168688.59,12.97,14.5,12.79,13.08,13.18,2.11,8.59,318.56,4.82,35644433107.0,14027635980.0,0.0,0.0,17.79,-1.36
37,002082,万邦德,18.66,10.02,1.7,264359.0,486121744.66,4.42,18.66,17.91,18.18,16.96,2.84,4.78,-57.42,4.6,11414117766.0,10323699525.0,0.0,0.0,45.9,33.96
38,601789,宁波建工,6.04,10.02,0.55,463135.0,279733353.0,0.0,6.04,6.04,6.04,5.49,0.89,4.26,37.86,1.45,9207326937.0,6564263484.0,0.0,0.0,16.83,21.04
39,601969,海南矿业,13.52,10.01,1.23,904237.0,1192452558.0,6.35,13.52,12.74,13.0,12.29,1.12,4.57,64.87,3.84,27016316354.0,26753282928.0,0.0,0.0,17.87,13.8
