序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3876.7774,9.744,0.252,3867.0336,3868.0871,3878.8318,3851.7058,562122601.0,1025875517700,10258.76亿
2,sz399001,深证成指,14123.307,61.871,0.44,14061.436,14116.021,14203.635,13991.83,62557872433.0,1169425765214,11694.26亿
3,Total,沪深总成交额,,,,,,,,,2195301282914,21953.01亿
