序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,301408,华人健康,20.78,19.98,3.46,650998,12.73 亿,18.19,20.78,17.63,17.63,17.32,28.43,39.78,3.97,SPD概念
2,603122,合富中国,17.91,8.09,1.34,746020,12.92 亿,9.35,18.0,16.45,16.53,16.57,18.74,-211.91,6.74,SPD概念
3,301584,建发致新,29.03,6.73,1.83,100867,2.86 亿,7.24,29.03,27.06,27.26,27.2,18.78,39.91,5.89,SPD概念
4,000950,重药控股,6.35,5.83,0.35,1557847,9.70 亿,8.17,6.49,6.0,6.08,6.0,9.01,21.43,0.95,SPD概念
5,000411,英特集团,11.28,3.96,0.43,104154,1.16 亿,4.79,11.41,10.89,10.9,10.85,1.85,14.82,1.26,SPD概念
6,300026,红日药业,3.67,3.38,0.12,952478,3.46 亿,5.07,3.7,3.52,3.56,3.55,3.48,102.39,1.28,SPD概念
7,000028,国药一致,26.45,3.32,0.85,98454,2.58 亿,3.32,26.55,25.7,25.7,25.6,2.06,12.96,0.79,SPD概念
8,603716,塞力医疗,24.1,2.12,0.5,355124,8.39 亿,7.71,24.5,22.68,23.82,23.6,15.73,-46.78,4.79,SPD概念
9,000705,浙江震元,9.0,1.58,0.14,86377,7769.54 万,2.71,9.07,8.83,8.96,8.86,3.06,40.23,1.49,SPD概念
10,600272,开开实业,12.61,1.12,0.14,40368,5080.30 万,2.57,12.72,12.4,12.55,12.47,2.52,256.0,4.26,SPD概念
11,301370,国科恒泰,10.68,0.95,0.1,41816,4462.21 万,2.36,10.78,10.53,10.53,10.58,1.29,55.96,2.01,SPD概念
12,603108,润达医疗,12.83,-0.47,-0.06,110299,1.42 亿,2.95,13.18,12.8,13.1,12.89,1.83,-35.71,1.88,SPD概念
13,000503,国新健康,7.63,-0.65,-0.05,77907,5959.47 万,1.95,7.76,7.61,7.73,7.68,0.8,-40.48,5.91,SPD概念
