序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300308,中际旭创,779.98,0.9,254.41 亿
2,300502,新易盛,496.98,-4.43,235.14 亿
3,300750,宁德时代,431.0,0.05,161.22 亿
4,688256,寒武纪,1274.0,2.58,160.62 亿
5,000988,华工科技,112.3,-6.91,154.72 亿
6,300394,天孚通信,330.66,-4.39,139.72 亿
7,300476,胜宏科技,295.44,-4.08,137.67 亿
8,002463,沪电股份,92.78,-4.88,127.09 亿
9,300274,阳光电源,133.89,-3.99,122.53 亿
10,002384,东山精密,145.8,-0.14,119.56 亿
11,002475,立讯精密,58.78,-0.61,117.90 亿
12,601138,工业富联,57.82,-1.87,115.72 亿
13,688525,佰维存储,285.41,-0.93,113.25 亿
14,300857,协创数据,280.69,12.46,112.15 亿
15,603986,兆易创新,274.0,-2.15,110.72 亿
16,601899,紫金矿业,34.91,0.32,105.98 亿
17,002460,赣锋锂业,82.17,-6.92,96.43 亿
18,688041,海光信息,252.0,1.29,92.89 亿
19,600105,永鼎股份,37.54,0.97,88.83 亿
20,603083,剑桥科技,125.8,4.29,84.66 亿
