排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,SPD概念,BK1147,1146.27,47.29,4.3,1027.67 亿,5.62,11,2,华人健康,19.98
2,超级真菌,BK0862,1219.25,43.95,3.74,6868.21 亿,4.46,19,2,海正药业,10.05
3,肝素概念,BK0944,1011.64,28.37,2.89,2330.26 亿,3.61,13,0,双鹭药业,9.95
4,减肥药,BK1146,1358.97,37.15,2.81,9693.06 亿,3.3,25,9,海正药业,10.05
5,重组蛋白,BK1063,1141.82,31.11,2.8,2761.48 亿,5.68,17,2,可孚医疗,7.81
