序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,301087,可孚医疗,57.84,7.81,4.19,52376,2.99 亿,6.3,58.36,54.98,55.31,53.65,2.7,32.51,2.48,重组蛋白
2,600867,通化东宝,10.49,5.96,0.59,1513507,15.68 亿,7.07,10.67,9.97,10.1,9.9,7.73,12.82,2.88,重组蛋白
3,920047,诺思兰德,34.89,5.95,1.96,105572,3.64 亿,6.65,35.0,32.81,32.81,32.93,5.86,-178.13,34.54,重组蛋白
4,300485,赛升药业,11.7,5.6,0.62,304048,3.49 亿,6.68,11.81,11.07,11.29,11.08,11.1,386.76,1.67,重组蛋白
5,920982,锦波生物,181.2,3.83,6.68,13858,2.50 亿,6.02,185.5,175.0,175.0,174.52,2.52,32.02,11.01,重组蛋白
6,688336,三生国健,89.28,3.77,3.24,139121,12.22 亿,8.46,91.44,84.16,88.22,86.04,2.26,19.03,6.53,重组蛋白
7,688765,禾元生物-U,66.67,3.56,2.29,20232,1.33 亿,3.32,66.86,64.72,65.08,64.38,4.94,-150.9,8.23,重组蛋白
8,688137,近岸蛋白,49.76,3.45,1.66,21242,1.04 亿,9.98,51.64,46.84,47.76,48.1,3.03,-45.84,1.7,重组蛋白
9,688520,神州细胞,43.28,3.34,1.4,54340,2.32 亿,5.3,43.85,41.63,42.5,41.88,1.22,-36.79,139.61,重组蛋白
10,300149,睿智医药,11.59,3.02,0.34,609956,6.98 亿,6.22,11.72,11.02,11.56,11.25,12.85,610.4,4.6,重组蛋白
11,000513,丽珠集团,34.46,1.8,0.61,66956,2.30 亿,1.89,34.64,34.0,34.2,33.85,1.18,15.12,2.2,重组蛋白
12,688062,迈威生物-U,39.09,1.66,0.64,140112,5.45 亿,6.66,40.47,37.91,39.34,38.45,6.86,-16.11,44.69,重组蛋白
13,688687,凯因科技,21.49,1.46,0.31,47424,1.02 亿,3.54,21.98,21.23,21.68,21.18,2.77,123.98,2.12,重组蛋白
14,688222,成都先导,27.75,1.24,0.34,288479,7.96 亿,5.98,28.5,26.86,28.32,27.41,7.2,97.52,7.46,重组蛋白
15,301080,百普赛斯,50.3,1.04,0.52,89726,4.55 亿,4.74,51.68,49.32,50.41,49.78,7.12,47.62,3.2,重组蛋白
