序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,002038,双鹭药业,8.07,9.95,0.73,1421984,10.90 亿,11.44,8.07,7.23,7.5,7.34,16.69,44.07,1.46,肝素概念
2,000153,丰原药业,6.98,6.4,0.42,589248,4.10 亿,8.69,7.12,6.55,6.6,6.56,12.84,24.26,1.54,肝素概念
3,300026,红日药业,3.67,3.38,0.12,952478,3.46 亿,5.07,3.7,3.52,3.56,3.55,3.48,102.39,1.28,肝素概念
4,002675,东诚药业,14.65,3.1,0.44,415206,6.00 亿,3.94,14.66,14.1,14.42,14.21,5.59,61.75,2.78,肝素概念
5,600062,华润双鹤,18.67,2.7,0.49,189683,3.51 亿,2.86,18.71,18.19,18.26,18.18,1.84,11.77,1.67,肝素概念
6,002550,千红制药,8.02,2.56,0.2,456929,3.63 亿,4.48,8.08,7.73,7.96,7.82,4.85,20.09,3.73,肝素概念
7,600812,华北制药,5.66,2.35,0.13,374039,2.11 亿,3.8,5.73,5.52,5.6,5.53,2.18,45.95,1.76,肝素概念
8,002393,力生制药,23.75,1.84,0.43,71801,1.70 亿,2.57,23.85,23.25,23.55,23.32,2.87,14.7,1.32,肝素概念
9,603707,健友股份,9.83,1.55,0.15,153039,1.50 亿,2.89,9.93,9.65,9.75,9.68,0.95,27.74,2.37,肝素概念
10,600196,复星医药,26.8,1.28,0.34,309835,8.30 亿,2.04,27.09,26.55,26.91,26.46,1.46,21.23,1.47,肝素概念
11,603367,辰欣药业,16.41,1.17,0.19,174418,2.86 亿,3.45,16.65,16.09,16.36,16.22,3.85,17.64,1.2,肝素概念
12,002399,海普瑞,11.44,0.88,0.1,44166,5034.21 万,2.91,11.55,11.22,11.46,11.34,0.35,48.03,1.4,肝素概念
13,300255,常山药业,44.87,0.36,0.16,289917,13.08 亿,3.29,45.83,44.36,45.66,44.71,3.16,-690.1,27.18,肝素概念
