序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688287,*ST观典,1.96,20.25,0.33,250482.0,47534690.0,11.66,1.96,1.77,1.82,1.63,0.94,6.76,-3.39,1.16,726210576.0,726210576.0,0.0,0.0,-70.61,-68.08
2,688805,健信超导,56.92,20.01,9.49,94231.0,517692321.0,16.51,56.92,49.09,49.09,47.43,3.55,29.9,127.06,7.81,9544345600.0,1794053454.0,0.0,0.0,21.13,35.07
3,688166,博瑞医药,57.66,20.0,9.61,284869.0,1525964098.0,21.54,57.66,47.31,48.6,48.05,1.99,6.73,447.52,9.92,24396202818.0,24396202818.0,0.0,0.0,8.18,17.53
4,301189,奥尼电子,86.39,20.0,14.4,133082.0,1139401129.6,4.71,86.39,83.0,84.59,71.99,1.61,11.91,-83.77,4.78,10055490611.0,9654762648.0,0.0,0.0,87.8,98.64
5,301408,华人健康,20.78,19.98,3.46,650998.0,1272624495.8,18.19,20.78,17.63,17.63,17.32,1.89,28.43,39.78,3.97,8312207800.0,4757776394.0,0.0,0.0,-9.65,11.96
6,300097,智云股份,9.83,17.44,1.46,558399.0,529054462.26,20.43,10.04,8.33,8.36,8.37,4.71,20.68,-10.31,13.2,2836443246.0,2654183044.0,-0.1,0.41,38.06,35.77
7,301017,漱玉平民,16.28,15.79,2.22,375830.0,579013878.4,17.92,16.78,14.26,14.3,14.06,2.97,14.53,45.37,3.32,6603273120.0,4211545353.0,0.06,0.74,-7.71,10.37
8,301248,杰创智能,57.75,14.52,7.32,164994.0,909009118.28,15.17,58.0,50.35,51.01,50.43,2.29,14.69,292.35,5.81,8876463750.0,6486982425.0,0.12,-0.14,32.79,79.46
9,688253,英诺特,43.1,14.11,5.33,62548.0,262364381.0,13.42,43.59,38.52,38.53,37.77,4.18,4.57,40.43,2.88,5904024020.0,5904024020.0,0.02,0.0,15.09,42.81
10,300051,琏升科技,16.05,13.27,1.88,637238.0,996379920.87,17.85,16.5,13.97,13.97,14.17,1.8,17.33,-49.33,37.03,5970883925.0,5901200041.0,-0.31,0.82,91.3,148.84
11,688603,天承科技,98.56,13.12,11.43,104961.0,1008774702.0,15.92,100.8,86.93,87.97,87.13,1.8,22.13,146.98,10.31,12292849085.0,4673873586.0,0.07,0.25,15.93,31.48
12,688618,三旺通信,39.37,12.61,4.41,113754.0,446102347.0,19.59,41.95,35.1,35.1,34.96,2.5,10.34,118.62,5.07,4338008253.0,4332583776.0,0.56,0.51,19.45,47.67
