序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688166,博瑞医药,57.66,20.0,9.61,284869,15.26 亿,21.54,57.66,47.31,48.6,48.05,6.73,447.52,9.92,减肥药
2,600267,海正药业,11.39,10.05,1.04,493332,5.48 亿,9.57,11.39,10.4,10.4,10.35,4.12,9.6,1.53,减肥药
3,002038,双鹭药业,8.07,9.95,0.73,1421984,10.90 亿,11.44,8.07,7.23,7.5,7.34,16.69,44.07,1.46,减肥药
4,603538,美诺华,55.5,8.91,4.54,699440,37.53 亿,11.54,56.06,50.18,50.91,50.96,32.35,95.68,5.45,减肥药
5,002294,信立泰,67.27,8.15,5.07,205180,13.08 亿,11.29,68.38,61.36,62.99,62.2,1.84,96.86,8.55,减肥药
6,605116,奥锐特,28.46,6.99,1.86,137807,3.77 亿,8.83,28.46,26.11,27.11,26.6,3.39,24.52,4.58,减肥药
7,301520,万邦医药,45.9,6.15,2.66,30791,1.39 亿,7.22,46.5,43.38,43.79,43.24,13.73,69.31,2.02,减肥药
8,600867,通化东宝,10.49,5.96,0.59,1513507,15.68 亿,7.07,10.67,9.97,10.1,9.9,7.73,12.82,2.88,减肥药
9,002317,众生药业,19.09,3.75,0.69,505821,9.58 亿,4.78,19.25,18.37,18.69,18.4,6.64,48.56,4.03,减肥药
10,300149,睿智医药,11.59,3.02,0.34,609956,6.98 亿,6.22,11.72,11.02,11.56,11.25,12.85,610.4,4.6,减肥药
11,600380,健康元,11.35,2.99,0.33,237108,2.67 亿,2.99,11.4,11.07,11.12,11.02,1.3,15.55,1.37,减肥药
12,600276,恒瑞医药,57.73,2.76,1.55,1029480,59.45 亿,2.51,58.45,57.04,57.94,56.18,1.61,49.69,6.25,减肥药
13,300404,博济医药,10.55,2.73,0.28,197676,2.07 亿,4.38,10.67,10.22,10.47,10.27,6.93,139.32,3.99,减肥药
14,603087,甘李药业,65.96,2.6,1.67,114007,7.49 亿,3.22,66.57,64.5,65.4,64.29,2.04,36.11,3.49,减肥药
15,600557,康缘药业,14.03,2.48,0.34,76299,1.07 亿,2.99,14.12,13.71,13.82,13.69,1.35,29.84,1.68,减肥药
