序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000838,财信发展,1.88,-9.29,9103.9083,17535.0904,跌幅偏离值达7%的证券
2,001299,美能能源,16.69,-9.29,3830.0851,66991.6389,跌幅偏离值达7%的证券
3,002083,孚日股份,13.08,-9.29,12626.999,168131.4098,跌幅偏离值达7%的证券
4,002227,奥特迅,8.02,-9.29,1479.4056,12297.8356,跌幅偏离值达7%的证券
5,002575,群兴玩具,6.51,-9.29,10572.6535,70454.1984,跌幅偏离值达7%的证券
6,600491,龙元建设,2.42,-8.69,12039.159,29686.37,跌幅偏离值达7%的证券
7,600743,华远控股,2.89,-9.98,45055.2901,140517.38,跌幅偏离值达7%的证券
8,603778,国晟科技,26.81,-10.02,465.43,12478.18,跌幅偏离值达7%的证券
9,605162,新中港,12.82,-8.77,3973.897,52160.7,跌幅偏离值达7%的证券
10,605167,利柏特,17.68,-9.99,2107.0142,38965.57,跌幅偏离值达7%的证券
11,000889,中嘉博创,4.74,17.62,31841.7711,140235.0158,振幅值达15%的证券
12,000973,佛塑科技,18.12,15.06,15478.4531,296874.7617,振幅值达15%的证券
13,001896,豫能控股,16.57,16.69,26622.2299,421985.2283,振幅值达15%的证券
14,601588,北辰实业,1.98,15.15,34138.6884,74055.2,振幅值达15%的证券
15,001257,盛龙股份,23.77,31.22,4274.9913,102099.4514,换手率达20%的证券
16,002328,新朋股份,12.5,40.11,22894.0241,282535.9561,换手率达20%的证券
17,002361,神剑股份,18.54,36.56,30876.8619,546027.0542,换手率达20%的证券
18,002560,通达股份,14.04,30.23,13692.2626,188065.3531,换手率达20%的证券
19,600152,维科技术,12.07,35.61,18839.0655,236915.25,换手率达20%的证券
20,600396,华电辽能,8.05,29.82,43922.5093,353758.0,换手率达20%的证券
21,603459,红板科技,68.4,32.45,2565.3801,171073.98,换手率达20%的证券
22,603538,美诺华,55.5,31.14,6994.4025,375292.95,换手率达20%的证券
23,603803,瑞斯康达,15.52,26.15,11111.3056,173736.06,换手率达20%的证券
24,920011,晨光电机,25.35,24.97,464.5008,11893.07,换手率达20%的证券
25,920012,创达新材,51.88,60.7,805.3939,43708.1,换手率达20%的证券
26,920078,族兴新材,24.36,27.88,577.0549,14119.52,换手率达20%的证券
27,920181,赛英电子,66.98,46.33,464.2094,31252.67,换手率达20%的证券
28,920230,欧康医药,13.13,21.66,1023.1541,12997.17,换手率达20%的证券
29,002051,中工国际,11.9,20.23,28660.8095,317723.2546,连续三个交易日内，涨幅偏离值累计达20%的证券
30,002124,天邦食品,3.14,20.53,58502.1989,174316.949,连续三个交易日内，涨幅偏离值累计达20%的证券
31,002297,博云新材,14.62,20.32,1998.1791,27861.0823,连续三个交易日内，涨幅偏离值累计达20%的证券
32,002364,中恒电气,43.4,22.33,25667.7968,1088401.3699,连续三个交易日内，涨幅偏离值累计达20%的证券
33,002580,圣阳股份,25.27,20.32,28444.8046,663466.9615,连续三个交易日内，涨幅偏离值累计达20%的证券
34,002980,华盛昌,70.54,20.27,4236.6545,285488.9986,连续三个交易日内，涨幅偏离值累计达20%的证券
35,002990,盛视科技,42.11,20.3,5701.9178,221765.7776,连续三个交易日内，涨幅偏离值累计达20%的证券
36,600605,汇通能源,32.33,20.03,2134.7492,66986.25,连续三个交易日内，涨幅偏离值累计达20%的证券
37,600664,哈药股份,4.44,20.01,71398.7059,296561.42,连续三个交易日内，涨幅偏离值累计达20%的证券
38,603629,利通电子,87.95,20.04,7624.4874,620960.57,连续三个交易日内，涨幅偏离值累计达20%的证券
39,603698,航天工程,39.53,20.03,6253.764,225702.48,连续三个交易日内，涨幅偏离值累计达20%的证券
40,603897,长城科技,46.0,22.79,5665.5644,240817.09,连续三个交易日内，涨幅偏离值累计达20%的证券
41,603950,长源东谷,59.84,20.18,6918.8692,373538.44,连续三个交易日内，涨幅偏离值累计达20%的证券
42,002498,汉缆股份,8.5,10.71,17343.6552,144968.523,涨幅偏离值达7%的证券
43,600267,海正药业,11.39,10.04,4933.322,54843.75,涨幅偏离值达7%的证券
44,600572,康恩贝,4.8,10.08,20748.6572,96630.6,涨幅偏离值达7%的证券
45,603815,交建股份,6.36,10.02,2173.88,13543.37,涨幅偏离值达7%的证券
46,605222,起帆电缆,25.8,10.01,2358.9985,58796.65,涨幅偏离值达7%的证券
47,605388,均瑶健康,7.33,10.05,3953.4834,27818.92,涨幅偏离值达7%的证券
48,300097,智云股份,9.83,17.44,5583.986,52905.4462,
49,301017,漱玉平民,16.28,15.79,3758.2961,57901.3878,
50,301189,奥尼电子,86.39,20.0,1330.8207,113940.113,
51,301408,华人健康,20.78,20.0,6509.9846,127262.4496,
52,688166,博瑞医药,57.66,20.0,2848.6908,152596.41,
53,688805,健信超导,56.92,20.01,942.3112,51769.23,
54,300344,立方退,0.27,0.0,4408.77,1241.6874,退市整理的证券
55,300857,协创数据,280.69,33.81,5780.4435,1543639.3319,
56,301157,华塑科技,73.83,31.4,648.6316,48703.4087,
57,301292,海科新源,93.32,36.95,3147.4724,304467.9347,
58,301667,纳百川,102.9,39.75,894.1898,94184.0962,
59,301682,宏明电子,125.71,39.12,1004.8643,128590.2508,
60,301683,慧谷新材,130.67,36.56,521.584,67427.7169,
61,688813,泰金新能,69.71,43.05,1294.6985,90757.89,
62,600423,柳化股份,2.77,-23.44,22240.7235,65576.39,连续三个交易日内，跌幅偏离值累计达20%的证券
