序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz000725,京东方Ａ,8.68,9.182,445.57亿
2,sh603986,兆易创新,815.0,-2.976,363.99亿
3,sz300308,中际旭创,1270.0,4.098,349.61亿
4,sz300502,新易盛,607.0,8.984,345.27亿
5,sh688008,澜起科技,309.9,4.675,272.85亿
6,sh688256,寒武纪,1595.55,7.662,254.87亿
7,sh600584,长电科技,103.55,0.291,231.80亿
8,sz300476,胜宏科技,346.43,9.849,199.16亿
9,sz000988,华工科技,184.61,4.282,197.22亿
10,sz002475,立讯精密,70.4,7.81,170.02亿
11,sh688981,中芯国际,158.82,5.179,166.80亿
12,sz000021,深科技,64.27,9.191,163.73亿
13,sz002384,东山精密,262.35,5.112,161.98亿
14,sh688012,中微公司,468.5,2.586,161.25亿
15,sh600176,中国巨石,72.88,2.677,159.91亿
16,sz002008,大族激光,150.11,6.31,157.02亿
17,sh688041,海光信息,370.3,4.357,153.57亿
18,sh603019,中科曙光,107.23,10.002,153.52亿
19,sh600522,中天科技,60.68,3.127,150.70亿
20,sh688525,佰维存储,494.73,-2.42,144.21亿
