序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000767,晋控电力,4.9,15.98,48534.9972,228477.3629,振幅值达15%的证券
2,002031,巨轮智能,8.4,15.86,48418.8484,387495.6188,振幅值达15%的证券
3,002081,金螳螂,7.85,16.06,54585.4889,441421.4763,振幅值达15%的证券
4,002208,合肥城建,20.76,16.25,16051.2461,324447.3548,振幅值达15%的证券
5,002971,和远气体,41.21,18.42,3196.093,120178.5499,振幅值达15%的证券
6,600156,华升股份,13.1,22.24,12521.3582,181230.77,振幅值达15%的证券
7,600396,华电辽能,17.43,20.08,34390.042,574941.7,振幅值达15%的证券
8,600578,京能电力,7.01,19.22,44345.9102,291135.85,振幅值达15%的证券
9,601991,大唐发电,7.92,17.68,152517.7004,1114929.49,振幅值达15%的证券
10,603002,宏昌电子,15.14,17.81,11492.4595,180018.8,振幅值达15%的证券
11,001267,汇绿生态,62.75,-9.12,6533.2985,421673.6556,跌幅偏离值达7%的证券
12,002290,禾盛新材,93.25,-9.12,2281.8082,219850.2396,跌幅偏离值达7%的证券
13,002309,中利集团,4.65,-9.12,70879.7872,342436.2626,跌幅偏离值达7%的证券
14,002560,通达股份,10.45,-9.12,16383.9136,174539.4309,跌幅偏离值达7%的证券
15,002580,圣阳股份,28.19,-9.12,10568.8471,305162.1479,跌幅偏离值达7%的证券
16,600330,天通股份,29.52,-8.98,20160.9147,614374.16,跌幅偏离值达7%的证券
17,600488,津药药业,7.01,-8.99,4020.0,28436.24,跌幅偏离值达7%的证券
18,603093,南华期货,23.3,-8.98,2406.731,58105.85,跌幅偏离值达7%的证券
19,603118,共进股份,15.93,-8.98,13876.0372,225674.94,跌幅偏离值达7%的证券
20,603588,高能环境,13.29,-9.0,10011.4934,136184.91,跌幅偏离值达7%的证券
21,001393,维通利,120.67,0.0,3624.6293,471271.0709,无价格涨跌幅限制的证券
22,002181,粤传媒,19.69,10.88,10091.1693,194548.1717,涨幅偏离值达7%的证券
23,002196,方正电机,15.36,10.88,10642.4489,160025.4997,涨幅偏离值达7%的证券
24,002407,多氟多,36.47,10.88,15436.7984,560416.5251,涨幅偏离值达7%的证券
25,600386,北巴传媒,4.36,11.12,5133.5142,21838.94,涨幅偏离值达7%的证券
26,601678,滨化股份,5.81,11.06,9849.7618,57227.12,涨幅偏离值达7%的证券
27,601996,丰林集团,3.05,11.13,8609.173,24920.53,涨幅偏离值达7%的证券
28,603363,傲农生物,3.5,11.08,11684.553,39225.21,涨幅偏离值达7%的证券
29,002165,红宝丽,9.74,33.18,24145.7265,236927.4441,换手率达20%的证券
30,002809,红墙股份,11.4,32.03,5444.4695,63302.3078,换手率达20%的证券
31,002902,铭普光磁,39.6,29.71,5540.7334,228589.1274,换手率达20%的证券
32,002940,昂利康,43.23,28.78,5332.4111,224149.4434,换手率达20%的证券
33,600130,波导股份,6.39,27.77,20827.8475,132753.85,换手率达20%的证券
34,603007,顺景科技,8.37,37.29,25919.0743,219214.92,换手率达20%的证券
35,603082,北自科技,42.3,31.63,1282.8902,52749.29,换手率达20%的证券
36,603344,星德胜,32.62,27.13,1466.0135,47097.07,换手率达20%的证券
37,920011,晨光电机,29.36,44.36,825.1096,23524.83,换手率达20%的证券
38,920012,创达新材,75.66,35.31,468.5392,35865.85,换手率达20%的证券
39,920100,三协电机,66.91,40.98,801.9461,52220.05,换手率达20%的证券
40,920177,恒道科技,38.35,37.71,443.9365,16765.73,换手率达20%的证券
41,920580,科创新材,16.6,37.31,2043.3816,35157.2,换手率达20%的证券
42,002380,科远智慧,42.18,20.95,6496.7086,260001.6396,连续三个交易日内，涨幅偏离值累计达20%的证券
43,003018,金富科技,59.14,23.99,1226.09,70366.4236,连续三个交易日内，涨幅偏离值累计达20%的证券
44,603115,海星股份,75.7,21.09,2973.0221,209758.76,连续三个交易日内，涨幅偏离值累计达20%的证券
45,603120,肯特催化,53.29,21.85,1947.509,100051.35,连续三个交易日内，涨幅偏离值累计达20%的证券
46,002796,世嘉科技,46.53,-20.24,7302.5302,379718.6714,连续三个交易日内，跌幅偏离值累计达20%的证券
47,605365,立达信,23.13,-21.28,3636.2444,100107.99,连续三个交易日内，跌幅偏离值累计达20%的证券
48,300263,隆华科技,13.74,20.0,23456.8318,313988.3461,
49,300276,三丰智能,8.42,20.0,11769.7518,94411.1894,
50,300721,怡达股份,29.36,20.0,3014.4497,87379.7688,
51,300878,维康药业,36.2,20.0,1233.6876,42155.7834,
52,301696,三瑞智能,139.48,20.0,1128.3488,144838.6594,
53,688143,长盈通,108.2,18.12,3196.5651,340558.71,
54,688507,索辰科技,107.52,15.7,1010.0203,106301.65,
55,688549,中巨芯,16.79,20.01,7149.4379,119628.04,
56,688697,纽威数控,24.18,20.0,3331.8305,76325.43,
57,688820,盛合晶微,183.84,18.76,5652.1339,949792.2,
58,300632,光莆股份,35.26,30.78,7005.2067,242746.2697,
59,301538,骏鼎达,117.0,35.35,2206.2307,233948.5375,
60,300965,恒宇信通,78.01,-16.9,789.54,64276.8068,
