序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1049.87,-2.609,292.75 亿
2,sh688008,澜起科技,247.98,-6.451,291.65 亿
3,sz300394,天孚通信,399.99,2.038,269.27 亿
4,sz300274,阳光电源,152.95,13.271,252.69 亿
5,sh601138,工业富联,67.62,-1.429,237.97 亿
6,sh603986,兆易创新,375.34,5.376,227.92 亿
7,sz300502,新易盛,610.05,-1.27,216.83 亿
8,sz002384,东山精密,203.35,-5.37,209.08 亿
9,sh688256,寒武纪,1209.0,-4.092,198.97 亿
10,sz300476,胜宏科技,340.22,-4.117,184.74 亿
11,sh688041,海光信息,303.01,-6.823,178.21 亿
12,sz002281,光迅科技,196.49,-3.587,175.24 亿
13,sh688981,中芯国际,119.02,0.95,161.52 亿
14,sh688012,中微公司,432.9,11.811,160.19 亿
15,sz001309,德明利,712.06,-1.329,154.39 亿
16,sh600522,中天科技,40.99,-7.052,152.38 亿
17,sz002050,三花智控,52.06,5.321,149.56 亿
18,sz002475,立讯精密,74.0,-1.857,147.51 亿
19,sh601899,紫金矿业,31.84,-5.012,144.40 亿
20,sh600584,长电科技,58.05,6.886,143.51 亿
