序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,002290,禾盛新材,-9.999034881591797,93.25,21.99 亿,230.51 亿,231.36 亿,134.18862915039062,9.23076343536377,1305500,144133,157350050,1,7,家电零部
2,002560,通达股份,-9.991386413574219,10.45,17.45 亿,66.18 亿,76.84 亿,66.44961547851562,25.86873435974121,2374992,150000,146388467,2,2,电网设备
3,002309,中利集团,-10.058026313781738,4.65,34.24 亿,111.89 亿,139.86 亿,223.90777587890625,29.457975387573242,3474945,145448,354529020,1,6,光伏设备
4,600857,宁波中百,-9.987113952636719,13.97,3.84 亿,31.34 亿,31.34 亿,41.12754440307617,12.006949424743652,8815558,142547,62286150,1,5,一般零售
5,001267,汇绿生态,-9.99713134765625,62.75,42.17 亿,380.67 亿,492.69 亿,828.4641723632812,10.769623756408691,14373326,145248,482123560,1,10,通信设备
6,603588,高能环境,-10.02031135559082,13.29,13.62 亿,202.44 亿,202.44 亿,8.396645545959473,6.57252311706543,14930397,135055,110066915,1,4,环境治理
7,603118,共进股份,-10.0,15.93,22.57 亿,125.41 亿,125.41 亿,128.2347869873047,17.625368118286133,29307058,145146,425299568,1,6,通信设备
8,600176,中国巨石,-9.994683265686035,33.86,73.19 亿,1355.46 亿,1355.46 亿,26.7423038482666,5.212656021118164,55602961,143354,471789219,1,3,玻璃玻纤
9,603093,南华期货,-10.003862380981445,23.3,5.81 亿,142.15 亿,167.23 亿,20.417497634887695,3.9450345039367676,57956420,100446,127038590,1,3,多元金融
10,605365,立达信,-10.0,23.13,1.64 亿,116.12 亿,116.12 亿,146.0194549560547,1.3582520484924316,81304263,093752,43674066,2,1,照明设备
11,000925,众合科技,-10.03752326965332,9.59,12.42 亿,64.56 亿,64.86 亿,-48.850826263427734,19.082460403442383,106132961,132712,2032749897,2,14,轨交设备
12,600330,天通股份,-10.0,29.52,61.44 亿,364.11 亿,364.11 亿,-217.53616333007812,16.345348358154297,148721464,133949,951134396,1,5,电子化学
13,002580,圣阳股份,-9.993614196777344,28.19,30.52 亿,127.51 亿,127.95 亿,52.482940673828125,23.364891052246094,156975451,142927,1193774444,2,1,电池
14,600488,津药药业,-10.012836456298828,7.01,2.84 亿,76.54 亿,76.54 亿,137.750244140625,3.6817007064819336,310167278,093116,349422555,1,0,化学制药
15,603773,沃格光电,-9.997599601745605,74.99,1.78 亿,168.47 亿,168.53 亿,-82.44625091552734,1.056536316871643,1662490580,092501,4472096141,1,0,光学光电
