序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,858.35,-0.897,280.49亿
2,sh600487,亨通光电,68.7,-3.647,183.23亿
3,sz300502,新易盛,399.0,-2.469,175.48亿
4,sh600183,生益科技,145.65,3.32,144.75亿
5,sz300476,胜宏科技,241.6,-8.154,143.12亿
6,sh603986,兆易创新,396.82,-3.497,142.09亿
7,sh688825,长鑫科技,58.6,-0.88,132.91亿
8,sh688256,寒武纪,1046.63,-0.131,116.37亿
9,sz002384,东山精密,195.62,-2.483,111.42亿
10,sh601138,工业富联,64.04,0.282,103.15亿
11,sh600176,中国巨石,43.2,1.313,99.51亿
12,sz300750,宁德时代,368.5,-1.206,97.07亿
13,sh600522,中天科技,35.04,-2.882,95.10亿
14,sh601869,长飞光纤,422.36,-1.045,91.89亿
15,sz300394,天孚通信,263.58,-1.34,91.04亿
16,sz000636,风华高科,55.45,2.476,90.87亿
17,sh688008,澜起科技,213.0,-3.716,84.57亿
18,sz001309,德明利,429.03,-0.17,83.89亿
19,sz002428,云南锗业,99.66,-1.677,76.85亿
20,sz300475,香农芯创,172.1,4.095,74.39亿
