序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000428,华天酒店,3.67,21.09,6723.6837,23002.8582,连续三个交易日内，涨幅偏离值累计达20%的证券
2,000533,顺钠股份,11.56,21.41,25744.5133,282385.9286,连续三个交易日内，涨幅偏离值累计达20%的证券
3,000566,海南海药,5.83,21.32,16586.1772,90587.6557,连续三个交易日内，涨幅偏离值累计达20%的证券
4,000779,甘咨询,11.67,27.08,29505.0802,309936.9849,连续三个交易日内，涨幅偏离值累计达20%的证券
5,001358,兴欣新材,24.53,21.38,493.6662,11250.2371,连续三个交易日内，涨幅偏离值累计达20%的证券
6,002309,中利集团,3.37,21.59,43796.8404,136800.3323,连续三个交易日内，涨幅偏离值累计达20%的证券
7,002310,东方新能,2.65,21.37,57115.7837,144658.2352,连续三个交易日内，涨幅偏离值累计达20%的证券
8,002647,仁东控股,9.57,20.07,11347.7394,101970.104,连续三个交易日内，涨幅偏离值累计达20%的证券
9,002969,嘉美包装,12.61,21.38,5139.0634,61621.4429,连续三个交易日内，涨幅偏离值累计达20%的证券
10,003032,传智教育,6.62,21.39,4869.2156,30610.3047,连续三个交易日内，涨幅偏离值累计达20%的证券
11,600775,南京熊猫,10.35,21.08,9401.0707,91604.18,连续三个交易日内，涨幅偏离值累计达20%的证券
12,603065,宿迁联盛,16.06,20.16,14122.7815,210374.27,连续三个交易日内，涨幅偏离值累计达20%的证券
13,603358,华达科技,37.46,21.06,1223.7669,42270.31,连续三个交易日内，涨幅偏离值累计达20%的证券
14,603389,亚振家居,46.59,21.04,499.0829,21759.78,连续三个交易日内，涨幅偏离值累计达20%的证券
15,603716,塞力医疗,16.43,21.01,3886.4069,60589.49,连续三个交易日内，涨幅偏离值累计达20%的证券
16,605068,明新旭腾,17.02,21.08,772.59,12278.22,连续三个交易日内，涨幅偏离值累计达20%的证券
17,001248,华润新能源,14.27,30.97,32907.8985,470407.2938,换手率达20%的证券
18,002141,贤丰控股,5.73,32.18,33244.2694,199509.0428,换手率达20%的证券
19,002407,多氟多,34.2,25.51,27575.7369,947428.5975,换手率达20%的证券
20,002879,长缆科技,18.9,38.46,5274.8138,99956.2198,换手率达20%的证券
21,600396,华电辽能,16.58,23.53,34659.0502,552676.76,换手率达20%的证券
22,603082,北自科技,38.49,24.88,1009.087,38773.08,换手率达20%的证券
23,603118,共进股份,17.31,27.39,21565.2474,366299.63,换手率达20%的证券
24,603459,红板科技,88.55,29.17,2305.6784,214248.95,换手率达20%的证券
25,603690,至纯科技,26.0,24.2,9268.5307,246358.97,换手率达20%的证券
