序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,908.0,-15.687,516.00亿
2,sh688825,C长鑫,47.0,-4.082,444.28亿
3,sz300502,新易盛,406.9,-17.128,334.25亿
4,sz000938,紫光股份,41.48,0.024,179.20亿
5,sh603986,兆易创新,390.63,-9.999,176.04亿
6,sh688256,寒武纪,1128.0,-9.107,166.18亿
7,sz300750,宁德时代,390.86,-2.285,146.53亿
8,sz002384,东山精密,190.71,-10.0,142.07亿
9,sz002156,通富微电,69.0,-10.004,135.70亿
10,sh688008,澜起科技,206.04,-9.413,132.10亿
11,sh600584,长电科技,76.83,-6.703,108.74亿
12,sh688012,中微公司,383.0,-4.195,99.72亿
13,sz002409,雅克科技,166.43,-1.724,98.52亿
14,sz000725,京东方Ａ,5.58,-6.533,98.05亿
15,sz002371,北方华创,715.0,-7.143,97.16亿
16,sz002407,多氟多,34.2,1.877,94.74亿
17,sh688981,中芯国际,136.7,-4.918,92.39亿
18,sh600487,亨通光电,50.01,-9.973,88.45亿
19,sh600176,中国巨石,37.59,-8.473,85.82亿
20,sh600667,太极实业,18.37,2.511,85.16亿
