序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3813.3146,-44.93,-1.165,3858.245,3823.1331,3844.0118,3797.3727,494829126.0,949683080126,9496.83亿
2,sz399001,深证成指,13509.679,-639.051,-4.517,14148.73,13830.35,13940.992,13470.114,57357992952.0,1076097521112,10760.98亿
3,Total,沪深总成交额,,,,,,,,,2025780601238,20257.81亿
