序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,002820,桂发祥,-9.963768005371094,9.94,3.82亿,19.97亿,19.97亿,-144.13702392578125,18.98945426940918,4955040,144515,368836768,2,28,休闲食品
2,600376,首开股份,-10.0,3.51,5.26亿,90.54亿,90.54亿,-2.998114585876465,5.7391839027404785,5023161,145643,209548067,2,1,房地产开
3,920059,双英集团,-29.97979736328125,17.33,3.30亿,5.60亿,26.36亿,36.846553802490234,56.62171936035156,10050394,143115,544334748,1,2,汽车零部
4,002333,罗普斯金,-9.936908721923828,5.71,2.85亿,38.06亿,38.54亿,92.26229095458984,7.188449382781982,16363147,102948,86376312,1,6,装修建材
5,002346,柘中股份,-10.0,23.67,5.21亿,104.52亿,104.52亿,16.308908462524414,4.80881404876709,18396324,135627,17970406,1,1,电网设备
6,000020,深华发Ａ,-9.970888137817383,12.37,1.84亿,22.41亿,35.03亿,208.3467254638672,8.191502571105957,24187469,101233,360993710,1,6,光学光电
7,603211,晋拓股份,-9.988385200500488,23.25,2.09亿,63.20亿,63.20亿,139.45693969726562,3.2576398849487305,24770550,150000,29329875,2,1,汽车零部
8,002248,华东数控,-10.0,10.08,6.46亿,31.00亿,31.00亿,95.33431243896484,20.723527908325195,31329648,133242,736836135,2,2,通用设备
9,603330,天洋新材,-10.029790878295898,9.06,9.19亿,36.85亿,39.20亿,290.69708251953125,24.759281158447266,34509340,142319,2734342071,2,14,塑料
10,600367,红星发展,-10.00501537322998,35.89,23.58亿,115.56亿,122.43亿,106.8347396850586,20.12558937072754,45236079,135449,397848076,1,7,化学原料
11,002896,中大力德,-10.0,68.76,11.25亿,135.13亿,135.13亿,305.3894958496094,8.21873950958252,51422578,135630,847052632,2,1,通用设备
12,003032,传智教育,-10.015060424804688,11.95,9.21亿,34.00亿,48.09亿,824.6625366210938,26.90435218811035,74234595,131000,1005516209,1,7,教育
