序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3903.721,9.299,0.239,3894.4224,3907.2058,3925.0615,3888.0989,506633954.0,1018568353177,10185.68亿
2,sz399001,深证成指,13972.78,82.628,0.595,13890.152,14032.967,14101.141,13870.177,59657023622.0,1060794886875,10607.95亿
3,Total,沪深总成交额,,,,,,,,,2079363240052,20793.63亿
