序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,904.2,0.96,203.38亿
2,sh688825,长鑫科技,57.57,0.035,169.66亿
3,sh688256,寒武纪,1010.88,-3.771,151.91亿
4,sh603986,兆易创新,403.5,-0.052,146.29亿
5,sh603259,药明康德,167.9,2.378,145.89亿
6,sz300394,天孚通信,276.25,-0.415,141.96亿
7,sh601899,紫金矿业,34.25,4.548,141.79亿
8,sh600276,恒瑞医药,49.5,-6.001,119.30亿
9,sh600487,亨通光电,62.02,5.279,118.44亿
10,sz300502,新易盛,414.02,0.612,117.43亿
11,sz002384,东山精密,197.67,0.289,103.36亿
12,sz000636,风华高科,53.09,-5.382,101.69亿
13,sh600584,长电科技,79.48,2.238,98.78亿
14,sz000725,京东方Ａ,5.9,-1.83,90.88亿
15,sh688836,C宇树,687.0,-18.698,90.72亿
16,sz002428,云南锗业,103.56,-1.089,81.70亿
17,sh688766,普冉股份,480.36,7.415,80.94亿
18,sz300570,太辰光,213.4,18.378,79.50亿
19,sz002156,通富微电,63.15,-0.692,78.03亿
20,sh688041,海光信息,246.33,-5.163,77.60亿
