序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,926.43,3.396,270.80亿
2,sz300502,新易盛,445.0,4.869,185.11亿
3,sh600176,中国巨石,45.02,-4.517,177.50亿
4,sh603986,兆易创新,388.18,4.948,157.88亿
5,sh600487,亨通光电,69.49,1.46,156.52亿
6,sh688825,长鑫科技,55.54,3.871,144.64亿
7,sz002384,东山精密,196.15,1.354,138.79亿
8,sh688256,寒武纪科技,1113.14,0.646,135.15亿
9,sz300394,天孚通信,284.66,2.525,130.43亿
10,sh600183,生益科技,143.93,-1.438,125.66亿
11,sz000725,京东方Ａ,5.92,2.957,123.56亿
12,sz300750,宁德时代,301.95,-0.772,115.38亿
13,sh600584,长电科技,73.0,7.749,114.90亿
14,sh600522,中天科技,35.98,-1.127,104.95亿
15,sh600105,永鼎股份,46.47,2.946,85.38亿
16,sz002281,光迅科技,195.4,2.186,84.39亿
17,sh688008,澜起科技,202.53,4.22,80.74亿
18,sz000636,风华高科,58.2,2.736,74.74亿
19,sh688012,中微半导体设备,354.92,1.051,73.36亿
20,sz002463,沪电股份,123.5,0.016,72.56亿
