序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,772.01,-5.275,432.03亿
2,sz000725,京东方Ａ,8.77,1.037,396.01亿
3,sz300308,中际旭创,1223.17,-3.687,342.56亿
4,sz300502,新易盛,575.56,-5.18,282.57亿
5,sh688008,澜起科技,315.89,1.933,279.80亿
6,sh600584,长电科技,106.64,2.984,263.27亿
7,sz300274,阳光电源,136.92,-13.898,224.14亿
8,sh600522,中天科技,55.42,-8.668,203.12亿
9,sz300059,东方财富,21.45,5.25,202.37亿
10,sh688525,佰维存储,463.07,-6.399,199.93亿
11,sz000021,深科技,62.26,-3.127,195.86亿
12,sh688256,寒武纪,1485.33,-6.908,191.80亿
13,sh688981,中芯国际,154.48,-2.733,183.28亿
14,sh600487,亨通光电,101.93,-6.777,180.65亿
15,sz300750,宁德时代,383.84,-2.333,167.59亿
16,sh688012,中微公司,462.0,-1.387,167.54亿
17,sz002384,东山精密,246.31,-6.114,164.86亿
18,sz300394,天孚通信,285.0,-5.841,163.19亿
19,sz301308,江波龙,667.84,-5.109,161.98亿
20,sz000988,华工科技,173.55,-5.991,161.91亿
