排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,猪肉概念,BK0882,1100.68,68.99,6.69,6969.73亿,3.14,36,0,金新农,10.03
2,鸡肉概念,BK0887,681.25,40.9,6.39,3109.60亿,2.27,19,1,益生股份,10.04
3,PVDF概念,BK1012,1675.96,96.05,6.08,6679.73亿,5.52,12,3,多氟多,9.99
4,第四代半导体,BK1121,2809.33,160.25,6.05,1364.23亿,2.94,2,2,衢州发展,9.89
5,2026一季报预减,BK1681,1077.4,53.91,5.27,2133.47亿,3.69,11,1,金宏气体,20.01
