序号,代码,名称,最新价,涨跌幅,成交额(亿元)
6,sh600487,亨通光电,77.12,9.421,243.18 亿
13,sz000725,京东方Ａ,5.11,-10.035,191.36 亿
17,sz002185,华天科技,19.34,-10.005,162.58 亿
