序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1154.99,-2.119,389.24 亿
2,sz000725,京东方Ａ,6.29,-2.177,297.02 亿
3,sh600522,中天科技,49.53,7.51,252.05 亿
4,sh600487,亨通光电,95.47,-0.676,236.89 亿
5,sz300502,新易盛,725.0,-3.075,233.49 亿
6,sh603986,兆易创新,474.01,-2.867,205.74 亿
7,sz300394,天孚通信,425.11,-6.978,181.51 亿
8,sz300476,胜宏科技,314.8,-7.111,161.84 亿
9,sz002463,沪电股份,137.0,2.837,155.45 亿
10,sz002384,东山精密,213.0,-3.798,151.35 亿
11,sh688256,寒武纪,1250.36,-3.759,143.76 亿
12,sh601138,工业富联,70.48,-4.834,140.14 亿
13,sh688008,澜起科技,224.31,-6.299,138.31 亿
14,sz002281,光迅科技,206.99,-9.047,126.88 亿
15,sz002475,立讯精密,66.14,-3.824,125.46 亿
16,sh600584,长电科技,70.3,-7.072,119.81 亿
17,sh688017,绿的谐波,428.25,8.969,119.50 亿
18,sz300408,三环集团,122.92,-8.833,116.12 亿
19,sz300136,信维通信,103.65,-2.52,114.70 亿
20,sz000063,中兴通讯,36.81,-5.929,113.94 亿
