序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000533,顺钠股份,16.96,-9.12,15909.7664,278782.5427,跌幅偏离值达7%的证券
2,000657,中钨高新,56.07,-9.12,12328.7434,705848.3768,跌幅偏离值达7%的证券
3,001896,豫能控股,15.44,-9.12,22523.5048,370039.5963,跌幅偏离值达7%的证券
4,002281,光迅科技,88.94,-9.12,8860.7814,805874.3904,跌幅偏离值达7%的证券
5,002378,章源钨业,36.92,-9.12,12225.0333,463405.9047,跌幅偏离值达7%的证券
6,600108,亚盛集团,6.26,-9.24,36104.4318,233026.78,跌幅偏离值达7%的证券
7,600230,沧州大化,21.22,-8.54,2975.3093,68160.69,跌幅偏离值达7%的证券
8,600397,江钨装备,15.96,-9.16,9266.1527,151429.04,跌幅偏离值达7%的证券
9,600410,华胜天成,28.59,-9.19,28422.7937,835670.53,跌幅偏离值达7%的证券
10,603681,永冠新材,19.42,-9.19,1765.0985,34876.89,跌幅偏离值达7%的证券
1,000890,法尔胜,11.09,22.62,12245.8813,124474.3206,连续三个交易日内，涨幅偏离值累计达20%的证券
2,002429,兆驰股份,11.94,20.09,98498.1861,1101055.5985,连续三个交易日内，涨幅偏离值累计达20%的证券
3,002487,大金重工,80.65,22.56,7415.8946,561989.295,连续三个交易日内，涨幅偏离值累计达20%的证券
4,003041,真爱美家,69.85,22.05,2916.5375,186596.1005,连续三个交易日内，涨幅偏离值累计达20%的证券
5,600121,郑州煤电,5.65,21.91,20924.448,108664.24,连续三个交易日内，涨幅偏离值累计达20%的证券
6,600307,酒钢宏兴,2.22,20.67,97204.2562,201279.76,连续三个交易日内，涨幅偏离值累计达20%的证券
7,600370,三房巷,2.73,22.26,37805.87,96872.41,连续三个交易日内，涨幅偏离值累计达20%的证券
8,600683,京投发展,8.76,20.67,16021.3875,124792.01,连续三个交易日内，涨幅偏离值累计达20%的证券
9,600691,潞化科技,4.43,21.96,16880.8739,70694.12,连续三个交易日内，涨幅偏离值累计达20%的证券
10,600726,华电能源,4.27,21.88,55349.6375,218416.64,连续三个交易日内，涨幅偏离值累计达20%的证券
11,600844,金煤科技,4.17,21.19,52760.1784,207809.65,连续三个交易日内，涨幅偏离值累计达20%的证券
12,600989,宝丰能源,34.7,20.54,72867.6299,2388402.13,连续三个交易日内，涨幅偏离值累计达20%的证券
13,603248,锡华科技,28.2,20.37,6826.3929,178367.34,连续三个交易日内，涨幅偏离值累计达20%的证券
14,900939,汇丽B,0.56,20.97,600.5707,313.34,连续三个交易日内，涨幅偏离值累计达20%的证券
1,001260,坤泰股份,23.42,18.59,1589.3566,38544.8193,振幅值达15%的证券
2,002350,北京科锐,13.83,17.38,7698.0701,115807.7115,振幅值达15%的证券
3,002498,汉缆股份,9.4,16.49,52314.6617,524518.9497,振幅值达15%的证券
4,002733,雄韬股份,27.37,15.59,7393.6563,195491.2107,振幅值达15%的证券
2,001369,双欣材料,18.28,41.14,8271.2635,147067.7515,换手率达20%的证券
3,002455,百川股份,15.3,42.98,24183.9856,391096.0748,换手率达20%的证券
4,002809,红墙股份,14.04,31.86,4653.2245,67981.7767,换手率达20%的证券
5,002903,宇环数控,31.03,40.14,4317.7943,128613.0419,换手率达20%的证券
6,600227,赤天化,4.37,31.16,39815.1544,170736.58,换手率达20%的证券
8,601789,宁波建工,6.79,41.23,44808.7334,315649.57,换手率达20%的证券
10,603280,南方路机,40.7,29.91,835.783,33177.43,换手率达20%的证券
11,920036,觅睿科技,55.61,46.96,613.3119,34602.75,换手率达20%的证券
12,920088,科力股份,76.56,31.58,1012.5541,76719.25,换手率达20%的证券
13,920159,农大科技,51.0,51.73,744.8778,38247.85,换手率达20%的证券
14,920375,派诺科技,18.09,31.55,2048.0998,40012.64,换手率达20%的证券
15,920779,武汉蓝电,38.34,25.51,511.1316,20257.25,换手率达20%的证券
1,002056,横店东磁,25.84,10.88,8620.2581,219958.166,涨幅偏离值达7%的证券
2,002165,红宝丽,12.76,10.88,19120.0341,238270.8422,涨幅偏离值达7%的证券
5,002969,嘉美包装,26.47,10.88,10106.4233,255986.43,涨幅偏离值达7%的证券
6,600226,亨通股份,6.02,10.87,18136.9988,105964.3,涨幅偏离值达7%的证券
9,600408,安泰集团,4.13,10.95,17507.7149,70005.85,涨幅偏离值达7%的证券
1,300185,通裕重工,4.21,20.0,85748.4577,343324.7679,
2,300677,英科医疗,61.79,17.7,3766.784,222201.1354,
3,300981,中红医疗,15.77,20.0,4386.7038,67037.4667,
1,300505,川金诺,38.9,47.55,10371.6263,399420.3318,
2,300690,双一科技,38.31,42.44,4735.3464,184349.3885,
3,301658,首航新能,50.3,50.04,2063.5748,106139.7001,
4,301667,纳百川,84.79,65.58,1475.1468,125441.3345,
5,301680,固德电材,117.5,43.69,734.0695,90169.1425,
1,301396,宏景科技,153.0,32.89,7250.9006,1004288.3023,
