序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,600726,华电能源,4.27,10.05,0.39,3716186,14.94 亿,14.69,4.27,3.7,4.2,3.88,4.97,94.78,8.21,昨日连板
2,600722,金牛化工,16.94,10.0,1.54,1777935,29.73 亿,6.82,16.94,15.89,16.0,15.4,26.13,239.91,9.33,昨日连板
3,000669,ST金鸿,4.86,4.97,0.23,689093,3.30 亿,7.78,4.86,4.5,4.86,4.63,10.13,-53.65,-297.88,昨日连板
4,002150,正泰电源,33.53,2.7,0.88,592732,20.01 亿,6.95,34.98,32.71,33.0,32.65,16.53,66.38,6.01,昨日连板
5,002528,ST英飞拓,3.71,0.0,0.0,563295,2.09 亿,6.2,3.84,3.61,3.71,3.71,5.36,-44.99,43.95,昨日连板
6,601016,节能风电,4.42,-0.23,-0.01,12755597,57.50 亿,10.16,4.75,4.3,4.61,4.43,21.5,28.46,1.63,昨日连板
7,000609,ST中迪,10.41,-0.67,-0.07,207218,2.19 亿,7.35,11.0,10.23,10.5,10.48,7.12,-15.44,-365.79,昨日连板
8,000537,绿发电力,12.39,-0.96,-0.12,3210407,42.27 亿,12.95,13.76,12.14,13.76,12.51,15.53,23.84,1.28,昨日连板
9,601868,中国能建,3.74,-1.58,-0.06,37981674,144.12 亿,8.68,3.94,3.61,3.8,3.8,11.71,37.05,1.42,昨日连板
10,601330,绿色动力,8.78,-4.67,-0.43,1180202,10.61 亿,9.66,9.6,8.71,9.2,9.21,11.93,15.04,1.49,昨日连板
11,002656,*ST摩登,3.04,-5.0,-0.16,494199,1.54 亿,8.13,3.3,3.04,3.29,3.2,7.3,-46.95,5.1,昨日连板
