序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,000537,绿发电力,-0.9592326283454895,12.39,13.76,42.27 亿,256.05 亿,256.05 亿,15.534711837768555,0.0,092500,3,4/3,12.949639320373535,电力
2,001260,坤泰股份,-4.525071144104004,23.42,26.98,3.85 亿,26.93 亿,26.93 亿,13.820491790771484,0.29978588223457336,092500,1,2/1,17.244192123413086,汽车零部
3,002356,赫美集团,5.140186786651611,4.5,4.71,9.23 亿,59.01 亿,59.01 亿,15.450545310974121,-0.22172948718070984,093121,1,0/0,9.345794677734375,一般零售
4,600569,安阳钢铁,5.038759708404541,2.71,2.84,3.52 亿,77.84 亿,77.84 亿,4.491853713989258,0.37037035822868347,093612,2,0/0,10.465116500854492,普钢
5,600078,澄星股份,5.891472816467285,13.66,14.19,12.31 亿,90.51 亿,92.45 亿,13.474679946899414,0.0,093839,1,0/0,10.542635917663574,农化制品
6,600844,金煤科技,5.837563514709473,4.17,4.33,10.46 亿,34.31 亿,42.39 亿,30.27016830444336,0.0,094225,6,2/1,12.436548233032227,化学原料
7,002692,远程股份,6.132879257202148,6.23,6.46,7.53 亿,44.71 亿,44.74 亿,16.580961227416992,0.0,094706,4,0/0,12.436115264892578,电网设备
8,000912,泸天化,7.500000476837158,6.02,6.16,13.50 亿,94.39 亿,94.39 亿,14.28844165802002,0.0,095327,1,0/0,9.285714149475098,农化制品
9,300505,川金诺,14.817001342773438,38.9,40.66,39.94 亿,84.55 亿,106.92 亿,47.71608352661133,0.0,095542,1,0/0,18.74262046813965,农化制品
10,300035,中科电气,13.3168306350708,22.89,24.24,31.57 亿,133.53 亿,156.89 亿,23.43609046936035,0.0,095612,1,0/0,16.881189346313477,电池
11,600773,西藏城投,5.674580097198486,18.25,19.0,12.98 亿,173.66 亿,173.66 亿,7.388556480407715,0.10970927774906158,095923,3,0/0,10.480602264404297,房地产开
12,002151,北斗星通,4.218928337097168,45.7,48.24,30.91 亿,202.37 亿,248.11 亿,15.340593338012695,-0.021877050399780273,100339,1,0/0,14.344355583190918,军工电子
13,002213,大为股份,6.411698341369629,28.38,29.34,14.09 亿,58.62 亿,67.40 亿,23.833805084228516,0.0,103215,4,0/0,10.91113567352295,半导体
14,001309,德明利,9.04599666595459,320.05,322.85,69.29 亿,514.88 亿,726.02 亿,13.693889617919922,0.0031246093567460775,103733,2,0/0,9.482112884521484,半导体
15,002743,富煌钢构,5.479452133178711,6.16,6.42,3.24 亿,26.77 亿,26.81 亿,11.959677696228027,0.16260161995887756,105445,2,0/0,10.445204734802246,专业工程
16,002733,雄韬股份,6.580996513366699,27.37,28.25,19.55 亿,100.96 亿,105.16 亿,20.044464111328125,0.47723934054374695,111536,1,0/0,14.836448669433594,电池
17,002273,水晶光电,7.429015636444092,27.62,28.28,35.82 亿,376.24 亿,384.09 亿,9.59299373626709,0.0,133957,1,0/0,11.162971496582031,光学光电
18,002173,创新医疗,6.588235378265381,31.71,32.73,29.73 亿,132.01 亿,139.93 亿,23.068777084350586,0.0,140409,1,0/0,13.882352828979492,医疗服务
