序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,600726,华电能源,4.27,10.05,0.39,3716186.0,14.94 亿,14.69,4.27,3.7,4.2,3.88,4.97,94.78,8.21,昨日连板_含一字
2,002445,中南文化,4.49,10.05,0.41,1149642.0,5.16 亿,0.0,4.49,4.49,4.49,4.08,4.86,97.33,4.71,昨日连板_含一字
3,600722,金牛化工,16.94,10.0,1.54,1777935.0,29.73 亿,6.82,16.94,15.89,16.0,15.4,26.13,239.91,9.33,昨日连板_含一字
4,603843,*ST正平,6.7,5.02,0.32,41711.0,2794.64 万,0.0,6.7,6.7,6.7,6.38,0.6,-35.24,16.75,昨日连板_含一字
5,000908,*ST景峰,5.05,4.99,0.24,985.0,49.74 万,0.0,5.05,5.05,5.05,4.81,0.01,-149.54,119.12,昨日连板_含一字
6,000669,ST金鸿,4.86,4.97,0.23,689093.0,3.30 亿,7.78,4.86,4.5,4.86,4.63,10.13,-53.65,-297.88,昨日连板_含一字
7,600599,*ST熊猫,5.09,4.95,0.24,55877.0,2803.31 万,4.95,5.09,4.85,4.92,4.85,3.37,46.73,7.29,昨日连板_含一字
8,000004,*ST国华,6.16,4.94,0.29,235822.0,1.41 亿,9.54,6.16,5.6,5.88,5.87,18.67,-22.58,22.07,昨日连板_含一字
9,002150,正泰电源,33.53,2.7,0.88,592732.0,20.01 亿,6.95,34.98,32.71,33.0,32.65,16.53,66.38,6.01,昨日连板_含一字
10,002528,ST英飞拓,3.71,0.0,0.0,563295.0,2.09 亿,6.2,3.84,3.61,3.71,3.71,5.36,-44.99,43.95,昨日连板_含一字
11,601016,节能风电,4.42,-0.23,-0.01,12755597.0,57.50 亿,10.16,4.75,4.3,4.61,4.43,21.5,28.46,1.63,昨日连板_含一字
12,000609,ST中迪,10.41,-0.67,-0.07,207218.0,2.19 亿,7.35,11.0,10.23,10.5,10.48,7.12,-15.44,-365.79,昨日连板_含一字
13,000537,绿发电力,12.39,-0.96,-0.12,3210407.0,42.27 亿,12.95,13.76,12.14,13.76,12.51,15.53,23.84,1.28,昨日连板_含一字
14,601868,中国能建,3.74,-1.58,-0.06,37981674.0,144.12 亿,8.68,3.94,3.61,3.8,3.8,11.71,37.05,1.42,昨日连板_含一字
15,601330,绿色动力,8.78,-4.67,-0.43,1180202.0,10.61 亿,9.66,9.6,8.71,9.2,9.21,11.93,15.04,1.49,昨日连板_含一字
