序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,002254,泰和新材,-9.992758750915527,12.43,10.79 亿,105.73 亿,106.53 亿,215.599853515625,9.772038459777832,2569616,150000,23392924,1,0,化学纤维
2,603681,永冠新材,-10.009267807006836,19.42,3.49 亿,37.12 亿,37.12 亿,24.948583602905273,9.234992027282715,4694707,135921,172789031,1,3,化学制品
3,600397,江钨装备,-9.98307991027832,15.96,15.14 亿,158.00 亿,158.00 亿,-38.630001068115234,9.360129356384277,17530464,143243,80872512,1,2,专用设备
4,001896,豫能控股,-10.023309707641602,15.44,37.00 亿,235.58 亿,235.58 亿,61.406192779541016,14.761947631835938,22243234,145654,275305305,1,3,电力
5,600108,亚盛集团,-10.05747127532959,6.26,23.30 亿,121.88 亿,121.88 亿,259.3279724121094,18.544429779052734,46376634,144340,195287288,1,6,种植业
6,002298,中电鑫龙,-10.015060424804688,11.95,18.52 亿,78.95 亿,88.44 亿,243.30950927734375,22.846389770507812,55494939,142212,134402293,1,2,电网设备
7,000657,中钨高新,-10.0,56.07,70.58 亿,814.66 亿,1277.61 亿,113.28748321533203,8.485462188720703,59876199,142530,429804585,1,1,小金属
8,002378,章源钨业,-9.995124816894531,36.92,46.34 亿,441.24 亿,443.56 亿,152.81045532226562,10.229114532470703,65116948,144503,171989456,1,2,小金属
9,002667,威领股份,-9.985052108764648,30.11,9.99 亿,71.24 亿,78.46 亿,-451.0157775878906,13.584283828735352,68491217,105657,54718903,1,0,专用设备
10,000533,顺钠股份,-9.978768348693848,16.96,27.88 亿,116.16 亿,117.16 亿,109.13726043701172,23.229246139526367,215898713,131424,342982383,1,3,电网设备
11,000815,美利云,-9.978768348693848,16.96,18.87 亿,117.92 亿,117.92 亿,273.43780517578125,15.728801727294922,275559770,101442,382659996,1,6,IT服务Ⅱ
12,600410,华胜天成,-10.009443283081055,28.59,83.57 亿,313.49 亿,313.49 亿,65.61134338378906,25.921506881713867,367501949,142602,484057803,1,0,IT服务Ⅱ
13,002281,光迅科技,-9.997976303100586,88.94,80.59 亿,693.27 亿,717.46 亿,74.84207153320312,11.367592811584473,453082328,112406,949985927,1,12,通信设备
