序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300981,中红医疗,15.77,20.02,2.63,438670.0,670374666.77,17.2,15.77,13.51,13.51,13.14,8.89,11.16,-703.51,1.26,6763200403.0,6198160042.0,0.0,0.0,2.27,25.56
2,300185,通裕重工,4.21,19.94,0.7,8574846.0,3433247678.63,17.95,4.21,3.58,3.58,3.51,3.27,23.13,146.8,2.47,16406995842.0,15606378365.0,0.0,0.0,43.69,48.24
3,300677,英科医疗,61.79,17.7,9.29,376678.0,2222011354.37,19.7,63.0,52.66,52.8,52.5,1.75,8.09,32.82,2.23,40457204121.0,28770239752.0,-0.02,-0.02,47.72,58.84
4,300505,川金诺,38.9,14.82,5.02,1037163.0,3994203318.28,18.74,40.66,34.31,34.56,33.88,1.85,47.72,26.34,3.87,10692346645.0,8455351536.0,0.0,0.13,74.44,73.74
5,300720,海川智能,49.18,14.69,6.3,186752.0,889209871.36,21.01,51.27,42.26,42.6,42.88,1.97,10.69,260.26,16.37,9584063450.0,8589384917.0,-0.24,1.84,55.88,45.12
6,300035,中科电气,22.89,13.32,2.69,1367140.0,3156968388.8,16.88,24.24,20.83,20.83,20.2,7.57,23.44,29.29,3.2,15689416499.0,13352838696.0,0.0,-0.26,9.05,7.52
7,300143,盈康生命,13.38,12.53,1.49,611520.0,780156999.81,15.64,13.65,11.79,11.89,11.89,1.75,9.53,86.61,3.97,10027662462.0,8581439348.0,0.0,0.38,32.21,35.43
8,920159,农大科技,51.0,12.51,5.67,74488.0,382478520.01,19.77,55.52,46.56,46.56,45.33,1.82,51.73,26.9,4.31,3876000000.0,734400000.0,0.0,2.0,104.0,104.0
9,688519,南亚新材,133.0,12.31,14.58,81876.0,1039732944.0,23.58,142.1,114.18,116.16,118.42,1.77,3.49,129.64,10.85,31224543266.0,31224543266.0,-0.75,-0.34,88.65,64.48
10,300936,中英科技,59.97,11.49,6.18,125141.0,716899452.25,15.97,61.77,53.18,53.64,53.79,1.6,26.37,-470.62,4.51,4509744000.0,2846192692.0,-0.05,0.02,55.12,53.77
11,688689,银河微电,37.09,10.65,3.57,120153.0,445413854.0,20.17,39.97,33.21,33.79,33.52,2.94,9.32,59.48,3.46,4781021950.0,4781021950.0,0.08,0.03,38.34,30.69
12,300569,天能重工,7.79,10.5,0.74,2042240.0,1556159562.36,16.88,8.25,7.06,7.15,7.05,3.89,20.03,71.08,1.54,7966967105.0,7942767524.0,-0.13,0.0,32.48,35.71
13,600408,安泰集团,4.13,10.13,0.38,1750771.0,700058545.0,11.2,4.13,3.71,3.74,3.75,2.69,17.39,-20.01,3.06,4158084000.0,4158084000.0,0.0,0.0,-14.14,2.48
14,000677,恒天海龙,5.02,10.09,0.46,223718.0,112306566.52,0.0,5.02,5.02,5.02,4.56,0.34,2.59,1183.82,8.54,4337169299.0,4337169299.0,0.0,0.0,18.68,14.35
15,600370,三房巷,2.73,10.08,0.25,2737151.0,709959486.0,10.08,2.73,2.48,2.48,2.48,3.97,7.02,-17.09,2.15,10637938357.0,10637938357.0,0.0,0.0,22.42,20.8
16,600227,赤天化,4.37,10.08,0.4,3981515.0,1707365839.0,10.33,4.37,3.96,3.96,3.97,1.21,31.16,-36.3,3.08,7379739983.0,5583111139.0,0.0,0.0,53.33,83.61
17,600226,亨通股份,6.02,10.05,0.55,1813700.0,1059643011.0,11.33,6.02,5.4,5.48,5.47,3.22,6.1,71.19,4.96,17905774968.0,17905774968.0,0.0,0.0,37.13,12.95
18,600726,华电能源,4.27,10.05,0.39,3716186.0,1493775524.0,14.69,4.27,3.7,4.2,3.88,1.89,4.97,94.78,8.21,33764325617.0,31919685608.0,0.0,0.0,71.49,78.66
19,600683,京投发展,8.76,10.05,0.8,433776.0,364276303.0,12.06,8.76,7.8,7.91,7.96,1.06,5.86,-13.02,-50.19,6489211750.0,6489211750.0,0.0,0.0,92.11,105.15
20,002445,中南文化,4.49,10.05,0.41,1149642.0,516189168.2,0.0,4.49,4.49,4.49,4.08,4.62,4.86,97.33,4.71,10670967814.0,10625050569.0,0.0,0.0,59.22,72.69
21,002429,兆驰股份,11.94,10.05,1.09,3925592.0,4622289667.34,6.82,11.94,11.2,11.28,10.85,1.42,8.68,40.53,3.29,54051670848.0,54020536235.0,0.0,0.0,72.29,60.92
22,002669,康达新材,15.35,10.04,1.4,328678.0,482297549.3,11.04,15.35,13.81,13.84,13.95,4.36,10.86,41.56,1.72,4657190000.0,4646718230.0,0.0,0.0,13.62,0.99
23,002950,奥美医疗,11.3,10.03,1.03,171855.0,187880488.9,10.91,11.3,10.18,10.21,10.27,2.74,3.8,15.39,1.92,7155899099.0,5107545862.0,0.0,0.0,-0.62,3.48
24,600234,科新发展,14.92,10.03,1.36,76408.0,111151721.0,10.25,14.92,13.53,13.56,13.56,3.81,2.91,94.48,7.83,3916812917.0,3916812917.0,0.0,0.0,29.07,16.11
25,600232,金鹰股份,8.78,10.03,0.8,132673.0,112654441.0,11.03,8.78,7.9,7.93,7.98,1.75,3.64,285.2,3.41,3202228816.0,3202228816.0,0.0,0.0,21.27,11.0
26,002969,嘉美包装,26.47,10.02,2.41,1010642.0,2559864299.83,12.34,26.47,23.5,23.88,24.06,1.15,9.25,556.89,10.98,29077181444.0,28912888824.0,0.0,0.38,480.48,109.08
27,603538,美诺华,25.37,10.02,2.31,227271.0,556436233.0,12.1,25.37,22.58,23.08,23.06,2.01,10.51,43.73,2.49,5592820661.0,5484889577.0,0.0,0.0,25.84,31.86
28,603366,日出东方,10.32,10.02,0.94,831871.0,837970442.0,10.23,10.32,9.36,9.42,9.38,7.82,10.23,171.54,2.02,8390656402.0,8390656402.0,0.0,0.0,6.06,7.39
29,000890,法尔胜,11.09,10.02,1.01,389991.0,424799648.06,6.35,11.09,10.45,10.59,10.08,0.44,9.3,-153.27,-839.3,4652299005.0,4652155700.0,0.0,0.0,148.65,118.74
30,601611,中国核建,19.21,10.02,1.75,3072970.0,5725504295.0,13.8,19.21,16.8,17.14,17.46,2.43,10.2,39.25,2.66,57895755213.0,57895755213.0,0.0,0.0,62.38,42.51
31,605222,起帆电缆,23.06,10.02,2.1,201358.0,453379668.0,10.26,23.06,20.91,21.14,20.96,2.49,4.88,31.96,2.04,9521545440.0,9521545440.0,0.0,0.0,37.51,25.39
32,603062,麦加芯彩,56.29,10.01,5.12,40920.0,225455280.0,9.6,56.29,51.38,51.38,51.17,5.0,11.04,27.57,2.98,6079320000.0,2086844799.0,0.0,0.0,24.37,19.08
33,603659,璞泰来,32.41,10.01,2.95,676247.0,2159757611.0,9.1,32.41,29.73,29.73,29.46,1.15,3.17,29.35,3.39,69240694053.0,69240694053.0,0.0,0.0,20.89,18.54
34,002531,天顺风能,12.42,10.01,1.13,1145742.0,1375159506.76,9.83,12.42,11.31,11.5,11.29,1.89,6.41,240.12,2.48,22317232932.0,22192877260.0,0.0,0.0,83.46,81.05
35,002931,锋龙股份,81.58,10.01,7.42,79442.0,642824208.08,2.29,81.58,79.88,79.88,74.16,0.44,3.95,621.29,18.76,17825707732.0,16418262814.0,0.0,0.0,310.16,157.35
36,002543,万和电气,9.79,10.0,0.89,229719.0,219971017.15,10.56,9.79,8.85,8.86,8.9,4.96,3.47,11.39,1.44,7279844000.0,6477171719.0,0.0,0.0,-3.74,-4.11
