排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日打二板以上表现,BK1645,1072.85,72.85,7.29,758.83 亿,7.18,3,1,中南文化,10.05
2,昨日连板_含一字,BK1051,3759.72,101.87,2.78,3324.50 亿,10.92,9,6,中南文化,10.05
3,昨日连板,BK0816,3901.25,51.15,1.33,2929.81 亿,122.53,4,6,华电能源,10.05
4,低碳冶金,BK0979,1161.2,14.88,1.3,3452.95 亿,2.0,6,2,酒钢宏兴,9.9
5,净水概念,BK1068,1313.69,14.12,1.09,11305.85 亿,1.31,11,9,万和电气,10.0
