序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,000988,华工科技,118.69,-7.2,194.54 亿
2,300274,阳光电源,175.39,1.32,181.60 亿
3,300502,新易盛,394.03,4.03,159.13 亿
4,601868,中国能建,3.74,-1.58,144.12 亿
5,300750,宁德时代,397.0,0.38,142.01 亿
6,601669,中国电建,7.19,9.94,127.76 亿
7,002202,金风科技,31.43,0.45,125.35 亿
8,002384,东山精密,110.93,1.49,118.88 亿
9,300308,中际旭创,542.02,1.35,114.83 亿
10,002463,沪电股份,81.18,6.34,104.17 亿
11,688256,寒武纪-U,1096.1,-0.26,103.01 亿
12,601899,紫金矿业,35.77,-2.67,89.45 亿
13,600989,宝丰能源,34.7,2.88,88.21 亿
14,300476,胜宏科技,278.23,-0.81,83.95 亿
15,600410,华胜天成,28.59,-10.01,83.57 亿
16,002261,拓维信息,36.9,-7.1,80.63 亿
17,002281,光迅科技,88.94,-10.0,80.59 亿
18,002015,协鑫能科,22.28,4.31,80.07 亿
19,688525,佰维存储,209.7,3.38,79.71 亿
20,300394,天孚通信,325.0,-2.71,73.36 亿
