排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,氦气概念,BK0949,2965.47,108.84,3.81,2600.42 亿,7.05,11,4,华特气体,20.0
2,复合集流体,BK1113,1760.47,49.7,2.91,4628.86 亿,4.91,22,7,英联股份,9.99
3,工业气体,BK0981,2514.2,64.96,2.65,6029.68 亿,3.51,22,6,华特气体,20.0
4,昨日连板_含一字,BK1051,7638.01,130.46,1.74,2551.48 亿,39.27,10,6,株冶集团,10.0
5,第四代半导体,BK1121,2325.22,36.06,1.58,2031.69 亿,3.8,4,1,衢州发展,5.12
