序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,002081,金 螳 螂,4.49,10.05,0.41,1195575,5.31 亿,3.92,4.49,4.33,4.41,4.08,4.52,23.44,0.87,昨日连板_含一字
2,603178,圣龙股份,21.08,10.02,1.92,279552,5.57 亿,15.97,21.08,18.02,18.51,19.16,11.82,-51.24,4.1,昨日连板_含一字
3,600961,株冶集团,26.73,10.0,2.43,118545,3.17 亿,0.0,26.73,26.73,26.73,24.3,1.58,6.27,5.67,昨日连板_含一字
4,003018,金富科技,47.45,9.99,4.31,129661,5.99 亿,9.04,47.45,43.55,44.0,43.14,5.46,122.29,7.71,昨日连板_含一字
5,600696,*ST岩石,1.19,5.31,0.06,61566,720.06 万,7.08,1.19,1.11,1.16,1.13,1.84,-2.67,1.38,昨日连板_含一字
6,600234,科新发展,22.15,1.1,0.24,228210,5.13 亿,7.35,23.5,21.89,21.91,21.91,8.69,140.26,11.63,昨日连板_含一字
7,002217,合力泰,2.98,1.02,0.03,13788145,41.02 亿,11.86,3.16,2.81,3.07,2.95,18.94,980.87,11.91,昨日连板_含一字
8,603773,沃格光电,58.51,0.55,0.32,537891,32.28 亿,11.91,62.93,56.0,60.0,58.19,23.94,-147.32,11.27,昨日连板_含一字
9,001400,江顺科技,213.62,0.31,0.66,31783,6.73 亿,8.0,220.0,202.97,215.0,212.96,21.19,146.87,10.42,昨日连板_含一字
10,002428,云南锗业,68.4,0.29,0.2,1180937,80.82 亿,5.48,70.48,66.74,68.32,68.2,18.08,1846.19,30.69,昨日连板_含一字
11,600707,彩虹股份,8.45,-1.4,-0.12,2839316,24.33 亿,8.75,8.93,8.18,8.68,8.57,7.91,81.02,1.39,昨日连板_含一字
12,603052,可川科技,90.3,-1.52,-1.39,133172,12.05 亿,5.39,94.0,89.06,92.02,91.69,7.09,510.94,15.6,昨日连板_含一字
13,600330,天通股份,23.52,-1.59,-0.38,3871390,93.72 亿,7.49,25.21,23.42,23.9,23.9,31.39,379.6,3.62,昨日连板_含一字
14,002297,博云新材,18.99,-2.42,-0.47,2347492,45.72 亿,10.84,20.91,18.8,20.69,19.46,40.96,175.95,5.12,昨日连板_含一字
15,600156,华升股份,9.79,-3.93,-0.4,1210643,13.10 亿,14.33,11.21,9.75,11.21,10.19,30.11,-111.79,10.49,昨日连板_含一字
