序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300750,宁德时代,447.6,3.49,254.12 亿
2,300308,中际旭创,864.86,1.75,214.34 亿
3,300394,天孚通信,353.0,-5.74,196.30 亿
4,002475,立讯精密,65.75,0.03,169.44 亿
5,300502,新易盛,578.5,-0.77,165.12 亿
6,300476,胜宏科技,330.9,-3.53,165.02 亿
7,002384,东山精密,169.4,7.9,158.35 亿
8,603986,兆易创新,306.27,5.41,128.27 亿
9,600522,中天科技,32.44,4.81,125.41 亿
10,600118,中国卫星,100.2,6.01,117.89 亿
11,601899,紫金矿业,35.66,2.41,109.87 亿
12,688256,寒武纪,1330.0,-3.5,108.98 亿
13,600487,亨通光电,59.8,-1.79,108.12 亿
14,300058,蓝色光标,18.79,-3.79,107.59 亿
15,688820,N盛合,76.65,289.48,103.72 亿
16,002466,天齐锂业,70.71,5.82,97.05 亿
17,600330,天通股份,23.52,-1.59,93.72 亿
18,688525,佰维存储,275.96,2.7,91.70 亿
19,300136,信维通信,77.04,-0.98,89.29 亿
20,601138,工业富联,61.41,-0.16,84.66 亿
