序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688268,华特气体,119.04,20.0,19.84,145607,15.85 亿,20.77,119.04,98.44,100.0,99.2,12.14,105.53,7.74,氦气概念
2,688548,广钢气体,29.5,12.25,3.22,490189,13.85 亿,14.23,29.94,26.2,26.39,26.28,7.09,136.03,6.48,氦气概念
3,688106,金宏气体,32.65,12.2,3.55,702713,22.01 亿,15.57,33.4,28.87,29.58,29.1,14.0,124.2,5.29,氦气概念
4,002430,杭氧股份,30.08,6.1,1.73,413052,12.25 亿,10.09,30.87,28.01,28.36,28.35,4.22,31.02,3.01,氦气概念
5,300540,蜀道装备,28.1,5.48,1.46,465913,13.21 亿,6.46,29.33,27.61,28.49,26.64,22.54,107.37,5.7,氦气概念
6,000811,冰轮环境,20.37,4.25,0.83,398834,7.92 亿,7.83,20.46,18.93,19.19,19.54,4.08,35.82,3.17,氦气概念
7,002549,凯美特气,20.65,3.46,0.69,751044,15.33 亿,5.31,20.81,19.75,19.86,19.96,10.85,334.49,6.92,氦气概念
8,605090,九丰能源,46.82,3.38,1.53,450887,21.10 亿,6.36,48.0,45.12,45.98,45.29,6.4,19.96,3.03,氦气概念
9,002971,和远气体,31.06,3.36,1.01,75769,2.34 亿,6.59,31.68,29.7,30.05,30.05,4.84,109.02,4.14,氦气概念
10,603318,水发燃气,8.55,0.94,0.08,733798,6.26 亿,6.26,8.78,8.25,8.64,8.47,15.98,-78.23,2.76,氦气概念
11,688596,正帆科技,31.97,0.92,0.29,71922,2.28 亿,3.57,32.28,31.15,31.98,31.68,2.45,-91.84,2.59,氦气概念
12,600759,洲际油气,5.19,-0.57,-0.03,2110333,10.91 亿,2.68,5.27,5.13,5.19,5.22,5.09,194.4,2.45,氦气概念
13,301286,侨源股份,50.04,-1.17,-0.59,28418,1.42 亿,5.12,51.3,48.71,49.25,50.63,1.76,86.15,10.2,氦气概念
14,002639,雪人集团,19.76,-1.54,-0.31,660054,13.07 亿,3.04,20.17,19.56,20.0,20.07,10.15,292.35,6.09,氦气概念
15,300435,中泰股份,24.42,-11.9,-3.3,331220,8.07 亿,8.01,25.87,23.65,25.87,27.72,8.98,55.34,2.72,氦气概念
