序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688268,华特气体,119.04,20.0,19.84,145607,15.85 亿,20.77,119.04,98.44,100.0,99.2,12.14,105.53,7.74,工业气体
2,688548,广钢气体,29.5,12.25,3.22,490189,13.85 亿,14.23,29.94,26.2,26.39,26.28,7.09,136.03,6.48,工业气体
3,688106,金宏气体,32.65,12.2,3.55,702713,22.01 亿,15.57,33.4,28.87,29.58,29.1,14.0,124.2,5.29,工业气体
4,002430,杭氧股份,30.08,6.1,1.73,413052,12.25 亿,10.09,30.87,28.01,28.36,28.35,4.22,31.02,3.01,工业气体
5,300540,蜀道装备,28.1,5.48,1.46,465913,13.21 亿,6.46,29.33,27.61,28.49,26.64,22.54,107.37,5.7,工业气体
6,600982,宁波能源,6.24,4.87,0.29,1601786,9.72 亿,13.11,6.51,5.73,5.98,5.95,14.33,20.05,1.55,工业气体
7,002549,凯美特气,20.65,3.46,0.69,751044,15.33 亿,5.31,20.81,19.75,19.86,19.96,10.85,334.49,6.92,工业气体
8,605090,九丰能源,46.82,3.38,1.53,450887,21.10 亿,6.36,48.0,45.12,45.98,45.29,6.4,19.96,3.03,工业气体
9,002971,和远气体,31.06,3.36,1.01,75769,2.34 亿,6.59,31.68,29.7,30.05,30.05,4.84,109.02,4.14,工业气体
10,300091,*ST金灵,3.22,3.21,0.1,303549,9651.99 万,3.85,3.22,3.1,3.12,3.12,1.86,-25.59,11.57,工业气体
11,600378,昊华科技,34.09,2.96,0.98,146728,4.96 亿,3.87,34.33,33.05,33.17,33.11,1.37,26.78,2.44,工业气体
12,688146,中船特气,69.3,2.56,1.73,271207,18.34 亿,11.94,71.08,63.01,66.41,67.57,18.71,90.56,6.25,工业气体
13,600691,潞化科技,3.18,1.92,0.06,887290,2.80 亿,7.05,3.28,3.06,3.11,3.12,3.74,-9.15,2.39,工业气体
14,603938,三孚股份,29.17,1.82,0.52,215845,6.31 亿,5.48,29.77,28.2,28.79,28.65,5.64,138.99,4.46,工业气体
15,920402,硅烷科技,9.55,1.38,0.13,82917,7908.45 万,6.05,9.77,9.2,9.34,9.42,3.04,-35.71,2.61,工业气体
