序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688020,方邦股份,112.25,20.0,18.71,94599,9.86 亿,21.91,112.25,91.76,96.88,93.54,11.48,-110.59,6.95,复合集流体
2,002846,英联股份,16.29,9.99,1.48,188523,2.97 亿,11.01,16.29,14.66,14.83,14.81,7.25,136.57,4.8,复合集流体
3,002992,宝明科技,56.8,7.68,4.05,59528,3.23 亿,8.66,56.87,52.3,52.89,52.75,3.77,-1533.52,14.01,复合集流体
4,301150,中一科技,67.89,6.98,4.43,198833,13.15 亿,16.91,71.5,60.77,62.88,63.46,8.93,306.89,4.45,复合集流体
5,301389,隆扬电子,62.79,6.44,3.8,150077,9.30 亿,10.65,64.2,57.92,58.86,58.99,17.75,171.77,8.01,复合集流体
6,300632,光莆股份,17.52,6.05,1.0,444378,7.47 亿,9.14,17.52,16.01,16.22,16.52,20.09,90.71,2.99,复合集流体
7,688700,东威科技,63.35,5.18,3.12,157355,9.72 亿,7.04,63.79,59.55,59.76,60.23,5.27,146.08,10.23,复合集流体
8,300706,阿石创,39.78,4.96,1.88,167995,6.55 亿,10.03,40.95,37.15,37.57,37.9,14.78,-148.45,8.68,复合集流体
9,688530,欧莱新材,34.99,4.45,1.49,165638,5.65 亿,12.24,36.3,32.2,33.03,33.5,24.44,-139.9,6.94,复合集流体
10,002426,胜利精密,3.93,3.97,0.15,1663441,6.24 亿,7.14,3.93,3.66,3.75,3.78,4.89,-137.21,5.54,复合集流体
11,688392,骄成超声,139.66,3.45,4.66,26768,3.63 亿,7.38,141.36,131.4,136.57,135.0,2.31,137.51,8.97,复合集流体
12,603800,洪田股份,49.02,2.7,1.29,80668,3.91 亿,5.85,49.6,46.81,48.5,47.73,3.88,122.46,11.83,复合集流体
13,002585,双星新材,7.84,2.48,0.19,504249,3.93 亿,5.88,8.02,7.57,7.64,7.65,5.69,-30.11,1.04,复合集流体
14,688388,嘉元科技,50.94,2.35,1.17,352750,17.85 亿,7.43,52.5,48.8,49.8,49.77,7.74,407.05,3.21,复合集流体
15,603659,璞泰来,36.22,2.35,0.83,618790,22.21 亿,5.14,36.7,34.88,35.88,35.39,2.9,32.8,3.79,复合集流体
