序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300821,东岳硅材,13.39,19.98,2.23,560047,7.49 亿,0.72,13.39,13.31,13.31,11.16,4.67,-832.14,3.26,有机硅概念
2,600596,新安股份,11.5,10.05,1.05,269209,3.05 亿,5.65,11.5,10.91,10.91,10.45,1.99,163.08,1.25,有机硅概念
3,603260,合盛硅业,43.02,10.0,3.91,124584,5.25 亿,7.72,43.02,40.0,40.0,39.11,1.05,-118.67,1.59,有机硅概念
4,002132,恒星科技,4.07,10.0,0.37,618331,2.45 亿,9.73,4.07,3.71,3.71,3.7,4.42,212.41,1.64,有机硅概念
5,000830,鲁西化工,16.87,9.97,1.53,528754,8.72 亿,10.17,16.87,15.31,15.31,15.34,2.78,23.55,1.69,有机硅概念
6,300019,硅宝科技,20.04,8.44,1.56,190656,3.80 亿,7.09,20.45,19.14,19.2,18.48,5.17,28.29,2.91,有机硅概念
7,603938,三孚股份,27.8,7.38,1.91,304501,8.30 亿,9.08,28.38,26.03,26.12,25.89,7.96,124.39,4.28,有机硅概念
8,605399,晨光新材,14.62,7.11,0.97,72922,1.06 亿,8.42,14.84,13.69,13.69,13.65,2.34,-101.32,2.13,有机硅概念
9,600409,三友化工,7.29,7.05,0.48,519070,3.73 亿,7.05,7.33,6.85,6.85,6.81,2.51,92.77,1.08,有机硅概念
10,300497,富祥药业,18.82,6.15,1.09,707220,13.19 亿,8.69,19.34,17.8,18.0,17.73,16.04,-191.03,4.64,有机硅概念
11,603281,江瀚新材,34.87,5.96,1.96,52390,1.81 亿,6.17,35.03,33.0,33.09,32.91,1.4,30.29,2.77,有机硅概念
12,300727,润禾材料,31.2,5.94,1.75,51310,1.59 亿,7.74,31.68,29.4,29.4,29.45,3.17,44.24,4.33,有机硅概念
13,300610,晨化股份,11.39,5.86,0.63,64366,7239.25 万,6.32,11.39,10.71,10.71,10.76,3.84,34.78,2.12,有机硅概念
14,920015,锦华新材,39.54,5.84,2.18,21281,8355.79 万,6.66,39.99,37.5,37.7,37.36,5.32,27.53,3.2,有机硅概念
15,002909,集泰股份,6.44,5.4,0.33,123038,7842.80 万,5.4,6.47,6.14,6.14,6.11,3.23,-436.94,2.79,有机硅概念
