序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,688256,寒武纪,1119.0,9.1,155.33 亿
2,300308,中际旭创,619.53,2.15,146.68 亿
3,300502,新易盛,458.7,0.75,128.39 亿
4,300394,天孚通信,317.36,-4.94,106.05 亿
5,600487,亨通光电,58.7,1.12,99.48 亿
6,000617,中油资本,11.53,7.76,92.55 亿
7,300750,宁德时代,384.59,-0.48,66.76 亿
8,688525,佰维存储,217.42,3.39,65.83 亿
9,300274,阳光电源,122.28,-0.84,64.11 亿
10,601138,工业富联,52.58,0.77,63.94 亿
11,601869,长飞光纤,357.1,1.3,61.14 亿
12,000988,华工科技,104.2,0.64,60.21 亿
13,002281,光迅科技,92.36,2.18,59.15 亿
14,300548,长芯博创,181.1,9.64,58.89 亿
15,001309,德明利,378.18,7.43,57.61 亿
16,300476,胜宏科技,264.88,0.46,56.25 亿
17,002202,金风科技,22.89,-5.49,52.97 亿
18,603986,兆易创新,249.66,0.22,50.11 亿
19,002384,东山精密,109.01,-1.39,49.69 亿
20,601899,紫金矿业,32.41,-1.52,49.02 亿
