序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,津药药业,600488,7.0,7天7板,10.043041229248047,7.67,13.23 亿,83.75 亿,83.75 亿,16.15128517150879,152589027.0,093059,095505,2,化学制药,,,
2,新能泰山,000720,3.0,10天8板,9.932659149169922,6.53,4.97 亿,82.05 亿,82.05 亿,6.070248126983643,217520934.0,093003,093003,0,电网设备,,,
3,汇源通信,000586,3.0,3天3板,10.015897750854492,20.76,3759.23 万,40.16 亿,40.16 亿,0.936107337474823,354175855.0,092500,092500,0,通信设备,,,
8,东岳硅材,300821,1.0,首板,19.982078552246094,13.39,7.49 亿,160.65 亿,160.68 亿,4.667874813079834,127761073.0,093000,093000,0,化学制品,,,
27,新安股份,600596,1.0,首板,10.047846794128418,11.5,3.05 亿,155.20 亿,155.20 亿,1.9947329759597778,118214825.0,094633,094633,0,农化制品,,,
37,合盛硅业,603260,1.0,首板,9.997443199157715,43.02,5.25 亿,508.59 亿,508.59 亿,1.0538264513015747,130367894.0,100155,100155,0,化学制品,,,
38,恒星科技,002132,1.0,首板,10.0,4.07,2.45 亿,56.96 亿,57.04 亿,4.418285846710205,113173045.0,100248,100248,0,通用设备,,,
52,新中港,605162,1.0,5天4板,10.007819175720215,14.07,7.94 亿,56.36 亿,56.36 亿,14.847386360168457,18517527.0,102059,133911,9,电力,,,
56,中农联合,003042,1.0,首板,10.0,18.26,1.81 亿,23.26 亿,26.02 亿,8.107343673706055,59840759.0,103012,103012,0,农化制品,,,
80,鲁西化工,000830,1.0,首板,9.97392463684082,16.87,8.72 亿,321.23 亿,321.26 亿,2.7768216133117676,63465159.0,134033,134033,0,化学原料,,,
7,通达股份,002560,0.0,5天3板,4.9920759201049805,13.25,24.47 亿,60.01 亿,69.66 亿,40.83940505981445,,094030,,1,电网设备,13.88,-0.1507159024477005,11.885895729064941
