序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,600596,新安股份,11.5,10.05,1.05,269209,3.05 亿,5.65,11.5,10.91,10.91,10.45,1.99,163.08,1.25,草甘膦
2,003042,中农联合,18.26,10.0,1.66,103260,1.81 亿,9.88,18.26,16.62,16.82,16.6,8.11,-43.56,1.98,草甘膦
3,600389,江山股份,30.5,7.77,2.2,148792,4.48 亿,9.43,30.98,28.31,28.31,28.3,3.46,23.17,3.21,草甘膦
4,301035,润丰股份,81.96,7.77,5.91,25733,2.08 亿,8.61,82.8,76.25,76.25,76.05,0.92,19.4,3.15,草甘膦
5,600486,扬农化工,79.85,7.4,5.5,73972,5.79 亿,7.95,79.95,74.04,75.21,74.35,1.83,25.17,2.82,草甘膦
6,000553,安道麦A,6.46,6.95,0.42,195526,1.25 亿,7.62,6.48,6.02,6.05,6.04,0.9,-14.39,0.86,草甘膦
7,603077,和邦生物,2.82,4.83,0.13,2344196,6.50 亿,5.95,2.82,2.66,2.67,2.69,2.65,200.62,1.37,草甘膦
8,000525,红太阳,5.93,4.22,0.24,255240,1.50 亿,4.57,5.95,5.69,5.69,5.69,2.3,-21.35,2.95,草甘膦
9,603599,广信股份,14.98,3.67,0.53,194294,2.91 亿,5.33,15.27,14.5,14.61,14.45,2.13,19.65,1.37,草甘膦
10,600141,兴发集团,32.95,3.42,1.09,334821,10.75 亿,9.45,33.27,30.26,31.19,31.86,2.79,26.54,1.66,草甘膦
11,002215,诺 普 信,10.38,3.18,0.32,85514,8785.01 万,3.08,10.38,10.07,10.08,10.06,1.06,13.59,2.52,草甘膦
12,000713,国投丰乐,6.42,2.72,0.17,99285,6323.32 万,4.32,6.46,6.19,6.26,6.25,1.62,-42.37,2.07,草甘膦
13,002004,华邦健康,5.25,1.55,0.08,221143,1.16 亿,3.09,5.31,5.15,5.17,5.17,1.18,12.74,1.07,草甘膦
