序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,津药药业,600488,7,7天7板,10.043041229248047,7.67,13.23 亿,83.75 亿,83.75 亿,16.15128517150879,152589027,093059,095505,2,化学制药
2,新能泰山,000720,3,10天8板,9.932659149169922,6.53,4.97 亿,82.05 亿,82.05 亿,6.070248126983643,217520934,093003,093003,0,电网设备
3,汇源通信,000586,3,3天3板,10.015897750854492,20.76,3759.23 万,40.16 亿,40.16 亿,0.936107337474823,354175855,092500,092500,0,通信设备
4,翠微股份,603123,2,2天2板,10.033445358276367,13.16,6.47 亿,85.84 亿,105.11 亿,7.6620683670043945,147927243,093059,093332,2,多元金融
5,中安科,600654,2,2天2板,9.89011001586914,4.0,10.27 亿,92.70 亿,115.10 亿,11.160188674926758,74024416,093334,102934,4,软件开发
6,圣泉集团,605589,2,2天2板,9.99074935913086,35.67,14.12 亿,300.91 亿,301.91 亿,4.725009918212891,130841127,093642,093903,2,塑料
7,华盛昌,002980,2,6天3板,10.002169609069824,50.7,10.35 亿,51.40 亿,96.03 亿,20.52814292907715,34205262,093709,133157,10,电网设备
8,东岳硅材,300821,1,首板,19.982078552246094,13.39,7.49 亿,160.65 亿,160.68 亿,4.667874813079834,127761073,093000,093000,0,化学制品
9,镇海股份,603637,1,首板,10.025928497314453,12.73,9138.81 万,30.38 亿,30.38 亿,3.031550168991089,41276439,093125,093125,0,专业工程
10,高乐股份,002348,1,首板,9.972677230834961,8.05,1.53 亿,72.73 亿,76.25 亿,2.1289472579956055,52642653,093136,093703,1,文娱用品
11,法尔胜,000890,1,首板,9.993753433227539,17.61,8.29 亿,73.87 亿,73.87 亿,11.263520240783691,169925757,093000,093330,3,环保设备
12,中工国际,002051,1,3天2板,9.968521118164062,10.48,15.35 亿,129.67 亿,129.68 亿,11.957883834838867,16798014,093118,134321,31,专业工程
13,福蓉科技,603327,1,首板,10.022522926330566,9.77,5871.95 万,102.14 亿,102.14 亿,0.5748848915100098,90849276,092502,092502,0,消费电子
14,通鼎互联,002491,1,首板,10.03184700012207,13.82,25.01 亿,162.59 亿,169.99 亿,15.604203224182129,170275681,093233,095612,3,通信设备
15,同宇新材,301630,1,首板,20.0,211.92,5.24 亿,21.19 亿,84.77 亿,24.959070205688477,48612328,093209,094103,4,通用设备
16,新天药业,002873,1,首板,9.981515884399414,11.9,4.22 亿,28.52 亿,29.05 亿,15.104325294494629,39817423,093209,094524,1,中药Ⅱ
17,华脉科技,603042,1,3天2板,9.980713844299316,22.81,5.79 亿,36.63 亿,36.63 亿,16.081701278686523,50582406,093326,094211,4,通信设备
18,鼎信通讯,603421,1,首板,10.0,8.91,2.58 亿,58.11 亿,58.11 亿,4.541341781616211,103756059,093549,093549,0,通信设备
19,江南高纤,600527,1,首板,10.132158279418945,2.5,2.57 亿,43.29 亿,43.29 亿,6.07088565826416,37238200,093427,094900,3,纺织制造
20,宏昌电子,603002,1,首板,10.0,10.67,3.55 亿,121.01 亿,121.01 亿,2.984625816345215,52881587,093724,093724,0,电子化学
21,泰达股份,000652,1,首板,9.947644233703613,4.2,1.50 亿,61.93 亿,61.97 亿,2.450301170349121,94479394,094127,094127,0,综合Ⅱ
22,诺德股份,600110,1,首板,10.057143211364746,9.63,33.64 亿,167.10 亿,167.10 亿,20.47762107849121,76604724,094133,145457,3,电池
23,东方新能,002310,1,首板,9.893993377685547,3.11,6.19 亿,130.59 亿,186.58 亿,4.902223587036133,162002898,094224,094224,0,电力
24,龙星科技,002442,1,首板,10.054844856262207,6.02,9025.40 万,29.66 亿,30.30 亿,3.13094425201416,65440410,094345,094345,0,橡胶
25,京能置业,600791,1,首板,9.981343269348145,11.79,4.58 亿,53.33 亿,53.39 亿,8.711122512817383,3451227,094510,144907,24,房地产开
26,恒逸石化,000703,1,首板,10.023309707641602,14.16,5.01 亿,538.35 亿,541.07 亿,0.9480341076850891,81666794,094612,094951,1,炼化及贸
27,新安股份,600596,1,首板,10.047846794128418,11.5,3.05 亿,155.20 亿,155.20 亿,1.9947329759597778,118214825,094633,094633,0,农化制品
28,粤 传 媒,002181,1,首板,9.962756156921387,11.81,10.12 亿,133.99 亿,137.12 亿,7.711713790893555,41473389,094654,103133,8,出版
29,大胜达,603687,1,14天7板,10.006715774536133,16.38,10.37 亿,90.10 亿,90.10 亿,11.881766319274902,49117068,094748,094836,1,包装印刷
30,尤夫股份,002427,1,首板,10.070671081542969,6.23,1.68 亿,61.35 亿,61.39 亿,2.8022806644439697,112890092,095121,095121,0,化学纤维
31,如意集团,002193,1,首板,10.018552780151367,5.93,6477.87 万,15.52 亿,15.52 亿,4.31810998916626,55820276,095212,095212,0,服装家纺
32,深圳华强,000062,1,首板,10.01220989227295,27.03,14.36 亿,282.44 亿,282.71 亿,5.171718597412109,124255044,095609,100033,2,其他电子
33,三房巷,600370,1,首板,10.043667793273926,2.52,2.05 亿,101.26 亿,101.26 亿,2.0829029083251953,96627285,095911,095911,0,化学纤维
