序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,恒尚节能,603137,6,6天6板,9.978880882263184,20.83,1518.40万,38.11亿,38.11亿,0.39847686886787415,385095728,092503,092503,0,装修装饰
2,宜宾纸业,600793,5,11天6板,9.9943208694458,19.37,3.21亿,34.27亿,34.27亿,9.554851531982422,26207610,094637,094637,0,造纸
3,白云电器,603861,2,2天2板,9.985527992248535,15.2,6.68亿,80.35亿,82.16亿,8.510311126708984,36992240,095121,100133,5,电网设备
4,万通发展,600246,2,2天2板,9.994086265563965,18.6,46.42亿,351.62亿,361.40亿,13.39930248260498,5438640,094816,150000,39,房地产开
5,大恒科技,600288,2,2天2板,9.971712112426758,15.55,18.70亿,67.92亿,67.92亿,27.8373966217041,15306735,093406,145148,11,软件开发
6,雅化集团,002497,1,首板,9.995537757873535,24.65,4.37亿,261.19亿,284.11亿,1.6748720407485962,370881435,092500,092500,0,化学制品
7,浙江东方,600120,1,首板,9.909910202026367,4.88,1.42亿,166.67亿,166.67亿,0.8510750532150269,151725612,092503,092503,0,多元金融
8,宝地矿业,601121,1,首板,10.034013748168945,6.47,5048.28万,51.76亿,63.68亿,0.9753249883651733,62058946,092502,092502,0,冶钢原料
9,视源股份,002841,1,首板,10.010213851928711,43.08,2.38亿,224.60亿,301.21亿,1.0600967407226562,520606032,092500,092500,0,消费电子
10,多利科技,001311,1,首板,10.011185646057129,19.67,6609.81万,34.84亿,79.40亿,1.9403760433197021,58479736,093145,093145,0,汽车零部
11,金时科技,002951,1,首板,10.007412910461426,14.84,8755.22万,59.53亿,60.10亿,1.50334894657135,95367776,093503,093503,0,其他电源
12,华菱精工,603356,1,首板,10.0,17.93,8787.74万,23.91亿,23.91亿,3.737138032913208,101889018,093526,093526,0,专用设备
13,圣龙股份,603178,1,3天2板,10.026917457580566,16.35,1.47亿,38.65亿,38.65亿,3.8887808322906494,42106204,093553,093553,0,汽车零部
14,宿迁联盛,603065,1,首板,9.99456787109375,20.25,13.51亿,84.84亿,84.84亿,16.489290237426758,11601225,093732,144050,2,化学制品
15,魅视科技,001229,1,首板,10.002833366394043,38.82,7032.88万,28.63亿,55.68亿,2.469764471054077,119577983,093006,093006,0,计算机设
16,佛塑科技,000973,1,首板,10.037735939025879,14.58,14.43亿,141.05亿,358.41亿,10.297643661499023,49664816,093103,134503,3,塑料
17,威尔高,301251,1,首板,19.99527359008789,50.77,2.15亿,38.38亿,95.73亿,5.599715709686279,151070704,092500,092500,0,元件
18,双星新材,002585,1,首板,9.961315155029297,11.37,4.81亿,100.82亿,129.77亿,4.919676303863525,146700992,094315,094315,0,塑料
19,天海电子,001365,1,首板,9.997468948364258,43.46,3.38亿,24.99亿,228.16亿,13.719592094421387,166659756,093818,093818,0,汽车零部
20,力鼎光电,605118,1,首板,9.994222640991211,38.08,2.05亿,155.70亿,156.61亿,1.332733154296875,34679456,093735,094008,2,计算机设
21,有研新材,600206,1,首板,10.001964569091797,55.98,45.59亿,473.90亿,473.90亿,9.849309921264648,277935102,094536,112633,1,半导体
22,依依股份,001206,1,首板,10.022522926330566,19.54,1.55亿,20.88亿,36.13亿,7.59717321395874,24730253,095230,095230,0,个护用品
23,实益达,002137,1,首板,10.009624481201172,11.43,11.20亿,45.32亿,66.01亿,25.256427764892578,60222395,095357,131354,5,光学光电
24,有研硅,688432,1,首板,20.0,46.14,33.89亿,576.89亿,576.89亿,6.1237993240356445,84772606,095640,141840,6,半导体
25,TCL中环,002129,1,首板,9.980039596557617,11.02,37.97亿,445.18亿,445.55亿,8.736989974975586,138748114,100524,132657,1,光伏设备
26,中远通,301516,1,首板,20.0,18.72,4.18亿,13.14亿,52.55亿,33.32380294799805,32773197,100933,131609,1,其他电源
27,晨光新材,605399,1,首板,10.00758171081543,14.51,1.45亿,45.20亿,45.25亿,3.31217622756958,38246850,102221,102221,0,化学制品
28,华天科技,002185,1,首板,9.979939460754395,21.93,119.99亿,728.66亿,728.83亿,16.933414459228516,419434451,103015,131618,5,半导体
29,百合花,603823,1,首板,10.006072998046875,72.45,21.18亿,301.66亿,301.66亿,7.216111660003662,31546541,103506,145506,1,化学制品
30,大名城,600094,1,首板,10.028653144836426,3.84,1.23亿,81.65亿,89.28亿,1.5689204931259155,61654821,105833,105833,0,房地产开
31,声迅股份,003004,1,首板,10.002751350402832,79.95,2.60亿,54.96亿,65.45亿,4.906277656555176,119837055,110854,110854,0,计算机设
32,劲旅环境,001230,1,首板,9.974746704101562,17.42,9782.26万,19.16亿,32.71亿,5.322983264923096,30203980,131054,131821,1,环境治理
33,华微电子,600360,1,首板,9.978463172912598,15.32,28.16亿,147.12亿,147.12亿,19.83240509033203,86714662,134508,142132,4,半导体
