序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1121.9,2.091,327.09亿
2,sh603986,兆易创新,620.0,-5.241,322.73亿
3,sz300502,新易盛,510.1,0.633,229.35亿
4,sh600584,长电科技,100.99,6.205,225.79亿
5,sz000725,京东方Ａ,7.58,-2.32,215.75亿
6,sz002384,东山精密,236.87,5.529,214.87亿
7,sh688256,寒武纪,1388.0,1.332,166.42亿
8,sh688008,澜起科技,253.2,-5.762,156.10亿
9,sh600487,亨通光电,80.89,-4.385,138.66亿
10,sh600176,中国巨石,60.0,-5.971,131.42亿
11,sz001309,德明利,851.0,-8.984,125.02亿
12,sz002185,华天科技,21.93,9.98,119.99亿
13,sh688525,佰维存储,425.0,-6.532,119.83亿
14,sz301308,江波龙,627.9,-7.906,117.71亿
15,sz300223,北京君正,231.2,-8.617,109.71亿
16,sh688041,海光信息,342.6,1.062,105.72亿
17,sz002371,北方华创,806.39,0.347,105.62亿
18,sh688012,中微公司,420.04,0.01,103.50亿
19,sz002281,光迅科技,221.67,6.047,102.39亿
20,sz300394,天孚通信,244.09,2.992,102.10亿
