序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,002148,北纬科技,-10.01430606842041,6.29,3.03亿,28.36亿,35.15亿,363.73382568359375,10.481911659240723,13460,150000,26956674,1,4,通信服务
2,002808,恒久退,-8.333333969116211,0.22,194.44万,4110.94万,5913.60万,-1.610013484954834,4.672385215759277,88973,134418,1467982,1,3,光学光电
3,603166,福达股份,-9.97697639465332,11.73,3.91亿,75.16亿,75.73亿,25.209917068481445,5.001622676849365,112173,150000,39824626,1,5,汽车零部
4,603020,爱普股份,-10.006807327270508,13.22,2.77亿,49.66亿,49.66亿,37.01866912841797,5.471249580383301,1031160,150000,93210254,1,35,化学制品
5,002989,中天精装,-9.994033813476562,30.17,3.32亿,59.69亿,60.83亿,-169.6708221435547,5.434690952301025,1083103,111051,75014687,1,19,装修装饰
6,600791,京能置业,-9.977578163146973,8.03,3.75亿,36.32亿,36.37亿,-12.217655181884766,9.844077110290527,1346631,150000,3760449,1,1,房地产开
7,603610,麒盛科技,-9.977452278137207,15.97,2.06亿,56.37亿,56.37亿,41.798160552978516,3.514967679977417,1714044,150000,28501210,1,6,家居用品
8,002774,快意电梯,-9.981048583984375,14.25,2.95亿,40.15亿,47.98亿,-606.79736328125,6.861913204193115,4349100,132124,20745150,1,0,专用设备
9,603629,DR利通电,-9.999189376831055,111.07,32.38亿,400.66亿,291.36亿,37.53827667236328,7.877094268798828,4835987,144644,353255888,1,3,消费电子
10,600182,S佳通,-5.010019779205322,14.22,3785.87万,24.17亿,48.35亿,25.482120513916016,1.5392394065856934,5106402,110321,9676710,1,2,汽车零部
11,002403,爱仕达,-10.016977310180664,10.6,2.04亿,31.50亿,36.11亿,-86.10484313964844,6.345244407653809,5999748,110006,47634916,1,17,小家电
12,600843,上工申贝,-10.011248588562012,8.0,2.05亿,37.54亿,57.05亿,1258.8343505859375,5.292995929718018,7886296,150000,24856800,1,5,专用设备
13,600376,首开股份,-10.075567245483398,3.57,5.78亿,92.09亿,92.09亿,-3.0493645668029785,6.108431816101074,8370778,135118,55890492,1,0,房地产开
14,002038,双鹭药业,-10.030863761901855,5.83,3.22亿,49.67亿,59.89亿,-17.3880558013916,6.32741117477417,9433470,140500,21648538,1,0,化学制药
15,600630,龙头股份,-10.046189308166504,7.79,2.74亿,33.10亿,33.10亿,33.435218811035156,8.258228302001953,13697936,111723,133464425,3,15,服装家纺
16,603458,勘设股份,-9.949748992919922,8.96,2.64亿,27.43亿,27.43亿,-42.982460021972656,9.233800888061523,14096230,150000,509259968,1,5,工程咨询
17,603033,三维股份,-9.990205764770508,9.19,2.62亿,93.05亿,94.76亿,-20.234909057617188,2.7115957736968994,16042918,150000,39868977,1,2,橡胶
18,603257,中国瑞林,-10.003742218017578,72.15,2.22亿,17.97亿,86.58亿,42.034175872802734,11.990715026855469,21005534,133709,68701229,1,8,工程咨询
19,002729,好利科技,-10.011442184448242,15.73,2.22亿,27.60亿,28.78亿,74.98999786376953,7.762762069702148,23646641,130503,26986388,1,5,其他电子
20,600353,旭光电子,-10.0,40.68,19.21亿,337.16亿,337.16亿,252.5797882080078,5.51355504989624,29963911,144329,249858062,1,4,其他电子
21,600301,华锡有色,-10.006373405456543,56.48,8.54亿,155.51亿,357.27亿,49.104915618896484,5.392093658447266,41501504,140706,185841792,1,7,小金属
22,003009,中天火箭,-10.004660606384277,57.93,5.33亿,95.40亿,95.42亿,503.60845947265625,5.516263961791992,50449383,104448,96505586,1,1,航天装备
23,002657,中科金财,-9.984479904174805,17.4,2.91亿,58.49亿,59.17亿,-42.923763275146484,4.897307395935059,53743380,095830,148636020,2,0,IT服务Ⅱ
24,600397,江钨装备,-10.004331588745117,20.78,20.65亿,205.71亿,205.71亿,3857.88623046875,9.673452377319336,67379150,150000,88078108,3,4,专用设备
25,603032,德新科技,-9.983193397521973,26.78,9.52亿,62.37亿,62.46亿,62.188621520996094,14.203906059265137,101763491,105614,91006474,1,4,电池
26,603678,火炬电子,-9.996100425720215,69.24,26.95亿,329.28亿,329.28亿,207.55332946777344,7.816148281097412,125032276,140459,1129278027,2,0,军工电子
27,002931,锋龙股份,-10.0,71.64,13.03亿,144.18亿,156.54亿,1181.117919921875,8.790690422058105,163511136,103024,95811336,1,0,通用设备
28,603618,杭电股份,-10.0,39.69,23.19亿,274.41亿,274.41亿,84.85913848876953,8.32770824432373,267386290,103604,6271733903,2,1,电网设备
29,603001,奥康国际,-9.990301132202148,9.28,3971.84万,37.21亿,37.21亿,36.63941192626953,1.067384958267212,304188192,092503,2271064704,4,0,服装家纺
30,000566,海南海药,-9.953344345092773,5.79,1.84亿,75.08亿,75.12亿,-24.563552856445312,2.4570467472076416,622979606,092500,1651574919,1,0,化学制药
