序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1078.0,2.745,318.35 亿
2,sh688008,澜起科技,265.08,2.427,293.17 亿
3,sh601138,工业富联,68.6,-3.162,281.26 亿
4,sz300476,胜宏科技,354.83,-8.407,274.00 亿
5,sz300394,天孚通信,392.0,3.652,269.40 亿
6,sz300502,新易盛,617.9,-1.763,238.91 亿
7,sh688256,寒武纪,1260.58,-4.275,231.69 亿
8,sz002281,光迅科技,203.8,2.945,170.32 亿
9,sz002475,立讯精密,75.4,-5.926,169.75 亿
10,sh600522,中天科技,44.1,1.147,167.46 亿
11,sz002384,东山精密,214.89,-2.655,166.81 亿
12,sz301308,江波龙,599.0,-2.108,151.62 亿
13,sz300750,宁德时代,427.0,-1.624,151.58 亿
14,sh688525,佰维存储,323.35,-1.565,149.02 亿
15,sh603986,兆易创新,356.19,-2.414,148.29 亿
16,sh601991,大唐发电,7.2,-2.307,145.17 亿
17,sz300136,信维通信,102.51,-9.842,142.32 亿
18,sh688041,海光信息,325.2,-6.603,141.36 亿
19,sz001309,德明利,721.65,6.156,138.08 亿
20,sz000988,华工科技,137.4,-3.308,128.73 亿
